3.40990e-16
1 1 1049.01 1053.70
wlen	gal_spec	fit_spec	star_spec	line_spec	newgal_spectrum
  4176.646	     0.440	     0.439	     0.439	    -0.000	     0.002
  4177.397	     0.440	     0.448	     0.448	     0.000	    -0.008
  4178.147	     0.439	     0.455	     0.455	    -0.000	    -0.016
  4178.898	     0.438	     0.461	     0.461	     0.000	    -0.023
  4179.649	     0.436	     0.464	     0.464	    -0.000	    -0.028
  4180.400	     0.433	     0.464	     0.464	     0.000	    -0.031
  4181.151	     0.431	     0.462	     0.462	    -0.000	    -0.031
  4181.902	     0.428	     0.456	     0.456	     0.000	    -0.029
  4182.653	     0.424	     0.448	     0.448	    -0.000	    -0.024
  4183.405	     0.421	     0.438	     0.438	     0.000	    -0.017
  4184.157	     0.418	     0.430	     0.430	    -0.000	    -0.011
  4184.908	     0.415	     0.424	     0.424	     0.000	    -0.009
  4185.660	     0.410	     0.423	     0.423	    -0.000	    -0.013
  4186.412	     0.407	     0.426	     0.426	     0.000	    -0.019
  4187.164	     0.403	     0.432	     0.432	    -0.000	    -0.029
  4187.917	     0.398	     0.438	     0.438	     0.000	    -0.040
  4188.669	     0.405	     0.443	     0.443	    -0.000	    -0.038
  4189.422	     0.418	     0.445	     0.445	     0.000	    -0.027
  4190.174	     0.424	     0.445	     0.445	    -0.000	    -0.021
  4190.927	     0.415	     0.444	     0.444	     0.000	    -0.029
  4191.680	     0.402	     0.442	     0.442	    -0.000	    -0.040
  4192.433	     0.404	     0.440	     0.440	     0.000	    -0.036
  4193.186	     0.402	     0.438	     0.438	    -0.000	    -0.035
  4193.940	     0.388	     0.436	     0.436	     0.000	    -0.048
  4194.693	     0.384	     0.434	     0.434	    -0.000	    -0.050
  4195.447	     0.395	     0.432	     0.432	     0.000	    -0.037
  4196.201	     0.405	     0.432	     0.432	    -0.000	    -0.026
  4196.955	     0.408	     0.432	     0.432	     0.000	    -0.024
  4197.709	     0.413	     0.434	     0.434	    -0.000	    -0.021
  4198.463	     0.417	     0.438	     0.438	     0.000	    -0.021
  4199.217	     0.415	     0.443	     0.443	    -0.000	    -0.029
  4199.972	     0.398	     0.449	     0.449	     0.000	    -0.051
  4200.726	     0.423	     0.456	     0.456	    -0.000	    -0.033
  4201.481	     0.436	     0.462	     0.462	     0.000	    -0.026
  4202.236	     0.448	     0.467	     0.467	    -0.000	    -0.019
  4202.991	     0.464	     0.471	     0.471	     0.000	    -0.006
  4203.746	     0.456	     0.474	     0.474	    -0.000	    -0.018
  4204.501	     0.458	     0.475	     0.475	     0.000	    -0.017
  4205.257	     0.462	     0.475	     0.475	    -0.000	    -0.014
  4206.012	     0.464	     0.474	     0.474	     0.000	    -0.009
  4206.768	     0.456	     0.471	     0.471	    -0.000	    -0.014
  4207.524	     0.445	     0.467	     0.467	     0.000	    -0.022
  4208.280	     0.433	     0.462	     0.462	    -0.000	    -0.029
  4209.036	     0.422	     0.459	     0.459	     0.000	    -0.037
  4209.792	     0.434	     0.455	     0.455	    -0.000	    -0.022
  4210.548	     0.434	     0.452	     0.452	     0.000	    -0.018
  4211.305	     0.428	     0.449	     0.449	    -0.000	    -0.021
  4212.061	     0.406	     0.443	     0.443	     0.000	    -0.037
  4212.818	     0.414	     0.436	     0.436	    -0.000	    -0.023
  4213.575	     0.424	     0.429	     0.429	     0.000	    -0.004
  4214.332	     0.430	     0.422	     0.422	    -0.000	     0.008
  4215.089	     0.424	     0.418	     0.418	     0.000	     0.006
  4215.846	     0.412	     0.418	     0.418	    -0.000	    -0.005
  4216.604	     0.413	     0.420	     0.420	     0.000	    -0.007
  4217.361	     0.413	     0.423	     0.423	    -0.000	    -0.010
  4218.119	     0.407	     0.427	     0.427	     0.000	    -0.020
  4218.877	     0.412	     0.430	     0.430	    -0.000	    -0.018
  4219.635	     0.415	     0.433	     0.433	     0.000	    -0.018
  4220.393	     0.416	     0.436	     0.436	    -0.000	    -0.020
  4221.151	     0.412	     0.439	     0.439	     0.000	    -0.027
  4221.910	     0.423	     0.442	     0.442	    -0.000	    -0.019
  4222.668	     0.439	     0.445	     0.445	     0.000	    -0.006
  4223.427	     0.449	     0.447	     0.447	    -0.000	     0.002
  4224.186	     0.448	     0.448	     0.448	     0.000	    -0.000
  4224.945	     0.463	     0.450	     0.450	    -0.000	     0.013
  4225.704	     0.472	     0.452	     0.452	     0.000	     0.019
  4226.463	     0.476	     0.454	     0.454	    -0.000	     0.021
  4227.222	     0.475	     0.455	     0.455	     0.000	     0.019
  4227.982	     0.459	     0.455	     0.455	    -0.000	     0.004
  4228.741	     0.466	     0.454	     0.454	     0.000	     0.012
  4229.501	     0.459	     0.453	     0.453	    -0.000	     0.006
  4230.261	     0.431	     0.455	     0.455	     0.000	    -0.023
  4231.021	     0.482	     0.458	     0.458	    -0.000	     0.024
  4231.781	     0.455	     0.462	     0.462	     0.000	    -0.007
  4232.542	     0.454	     0.466	     0.466	    -0.000	    -0.013
  4233.302	     0.481	     0.470	     0.470	     0.000	     0.011
  4234.063	     0.483	     0.473	     0.473	    -0.000	     0.010
  4234.823	     0.488	     0.473	     0.473	     0.000	     0.014
  4235.584	     0.480	     0.472	     0.472	    -0.000	     0.008
  4236.345	     0.462	     0.467	     0.467	     0.000	    -0.005
  4237.106	     0.475	     0.460	     0.460	    -0.000	     0.015
  4237.868	     0.451	     0.451	     0.451	     0.000	     0.000
  4238.629	     0.442	     0.443	     0.443	    -0.000	    -0.001
  4239.390	     0.443	     0.436	     0.436	     0.000	     0.007
  4240.152	     0.447	     0.431	     0.431	    -0.000	     0.016
  4240.914	     0.438	     0.429	     0.429	     0.000	     0.009
  4241.676	     0.430	     0.429	     0.429	    -0.000	     0.000
  4242.438	     0.425	     0.431	     0.431	     0.000	    -0.006
  4243.200	     0.445	     0.434	     0.434	    -0.000	     0.011
  4243.963	     0.431	     0.438	     0.438	     0.000	    -0.007
  4244.725	     0.435	     0.442	     0.442	    -0.000	    -0.007
  4245.488	     0.448	     0.448	     0.448	     0.000	    -0.001
  4246.250	     0.461	     0.455	     0.455	    -0.000	     0.006
  4247.013	     0.478	     0.463	     0.463	     0.000	     0.015
  4247.776	     0.480	     0.470	     0.470	    -0.000	     0.010
  4248.540	     0.473	     0.476	     0.476	     0.000	    -0.003
  4249.303	     0.447	     0.481	     0.481	    -0.000	    -0.035
  4250.066	     0.450	     0.485	     0.485	     0.000	    -0.035
  4250.830	     0.471	     0.487	     0.487	    -0.000	    -0.016
  4251.594	     0.491	     0.488	     0.488	     0.000	     0.003
  4252.357	     0.498	     0.487	     0.487	    -0.000	     0.011
  4253.121	     0.472	     0.486	     0.486	     0.000	    -0.014
