Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.872	    0.234	 5.163e-17	         5.289e-18	    2.338	    0.221	 3.026e-16	 4.221e-17	  -15.999	            0.378	 3151.006	 3151.006	   11.013	   13.946	    5.506
[OI]b   	 6363.800	 6431.043	    0.234	 1.666e-17	         5.289e-18	    2.338	    0.221	 9.763e-17	 3.235e-17	  -15.999	            0.378	 3151.006	 3151.006	   10.903	   33.135	    5.506
[NII]b  	 6548.100	 6617.349	    0.299	 2.942e-16	         1.529e-16	    1.878	    0.251	 1.385e-15	 7.431e-16	          -15.999	    0.378	 3153.686	 3153.686	   13.523	           53.649	    4.423
Halpha  	 6562.800	 6632.410	    0.188	 2.130e-15	         2.799e-16	    1.720	    0.151	 9.179e-15	 1.451e-15	          -15.999	    0.378	 3162.941	 3162.941	    8.512	           15.810	    4.049
[NII]a  	 6583.500	 6653.124	    0.299	 8.531e-16	         1.529e-16	    1.889	    0.251	 4.039e-15	 9.007e-16	          -15.999	    0.378	 3153.686	 3153.686	   13.451	           22.302	    4.447
[SII]a  	 6716.400	 6787.424	    0.496	 2.739e-16	         1.034e-16	    1.607	    0.429	 1.103e-15	 5.099e-16	          -15.999	    0.378	 3153.452	 3153.452	   21.908	           46.220	    3.784
[SII]b  	 6730.800	 6801.976	    0.496	 1.747e-16	         8.618e-17	    1.610	    0.429	 7.053e-16	 3.953e-16	          -15.999	    0.378	 3153.452	 3153.452	   21.861	           56.049	    3.792
Hbeta   	 4861.000	 4912.847	    0.146	 2.969e-16	         3.284e-17	    1.742	    0.099	 1.296e-15	 1.613e-16	          -15.999	    0.378	 3180.528	 3180.528	    8.922	           12.447	    4.102
[OIII]49	 4959.000	 5011.233	    0.284	 1.932e-17	         1.217e-17	    1.722	    0.223	 8.338e-17	 5.365e-17	          -15.999	    0.378	 3141.056	 3141.056	   16.998	           64.339	    4.055
[OIII]50	 5007.000	 5059.739	    0.284	 5.795e-17	         1.217e-17	    1.722	    0.223	 2.502e-16	 6.171e-17	          -15.999	    0.378	 3141.114	 3141.114	   16.835	           24.671	    4.055
[OI]a   	 6300.300	 6366.872	    0.234	 5.163e-17	         5.289e-18	    2.338	    0.221	 3.026e-16	 4.221e-17	          -15.999	    0.378	 3151.006	 3151.006	   11.013	           13.946	    5.506
[OI]b   	 6363.800	 6431.043	    0.234	 1.666e-17	         5.289e-18	    2.338	    0.221	 9.763e-17	 3.235e-17	          -15.999	    0.378	 3151.006	 3151.006	   10.903	           33.135	    5.506
[NII]b  	 6548.100	 6617.349	    0.299	 2.942e-16	         1.529e-16	    1.878	    0.251	 1.385e-15	 7.431e-16	          -15.999	    0.378	 3153.686	 3153.686	   13.523	           53.649	    4.423
Halpha  	 6562.800	 6632.410	    0.188	 2.130e-15	         2.799e-16	    1.720	    0.151	 9.179e-15	 1.451e-15	          -15.999	    0.378	 3162.941	 3162.941	    8.512	           15.810	    4.049
[NII]a  	 6583.500	 6653.124	    0.299	 8.531e-16	         1.529e-16	    1.889	    0.251	 4.039e-15	 9.007e-16	          -15.999	    0.378	 3153.686	 3153.686	   13.451	           22.302	    4.447
[SII]a  	 6716.400	 6787.424	    0.496	 2.739e-16	         1.034e-16	    1.607	    0.429	 1.103e-15	 5.099e-16	          -15.999	    0.378	 3153.452	 3153.452	   21.908	           46.220	    3.784
[SII]b  	 6730.800	 6801.976	    0.496	 1.747e-16	         8.618e-17	    1.610	    0.429	 7.053e-16	 3.953e-16	          -15.999	    0.378	 3153.452	 3153.452	   21.861	           56.049	    3.792
Hbeta   	 4861.000	 4912.847	    0.146	 2.969e-16	         3.284e-17	    1.742	    0.099	 1.296e-15	 1.613e-16	          -15.999	    0.378	 3180.528	 3180.528	    8.922	           12.447	    4.102
[OIII]49	 4959.000	 5011.233	    0.284	 1.932e-17	         1.217e-17	    1.722	    0.223	 8.338e-17	 5.365e-17	          -15.999	    0.378	 3141.056	 3141.056	   16.998	           64.339	    4.055
[OIII]50	 5007.000	 5059.739	    0.284	 5.795e-17	         1.217e-17	    1.722	    0.223	 2.502e-16	 6.171e-17	          -15.999	    0.378	 3141.114	 3141.114	   16.835	           24.671	    4.055
