wlen 	 newgal_spectrum 
  4176.646 	      0.233
  4177.397 	      0.220
  4178.147 	      0.206
  4178.898 	      0.191
  4179.649 	      0.163
  4180.400 	      0.138
  4181.151 	      0.112
  4181.902 	      0.085
  4182.653 	      0.056
  4183.405 	      0.043
  4184.157 	      0.033
  4184.908 	      0.019
  4185.660 	     -0.016
  4186.412 	     -0.040
  4187.164 	     -0.076
  4187.917 	     -0.133
  4188.669 	     -0.124
  4189.422 	     -0.078
  4190.174 	     -0.016
  4190.927 	      0.075
  4191.680 	     -0.130
  4192.433 	     -0.012
  4193.186 	      0.123
  4193.940 	      0.209
  4194.693 	      0.030
  4195.447 	      0.036
  4196.201 	      0.020
  4196.955 	     -0.123
  4197.709 	     -0.193
  4198.463 	     -0.244
  4199.217 	     -0.259
  4199.972 	     -0.180
  4200.726 	      0.054
  4201.481 	     -0.017
  4202.236 	     -0.073
  4202.991 	      0.053
  4203.746 	      0.178
  4204.501 	      0.169
  4205.257 	      0.114
  4206.012 	     -0.011
  4206.768 	      0.135
  4207.524 	      0.086
  4208.280 	      0.030
  4209.036 	      0.046
  4209.792 	     -0.014
  4210.548 	     -0.051
  4211.305 	     -0.074
  4212.061 	     -0.074
  4212.818 	     -0.033
  4213.575 	      0.066
  4214.332 	      0.113
  4215.089 	      0.006
  4215.846 	     -0.100
  4216.604 	     -0.120
  4217.361 	     -0.133
  4218.119 	     -0.154
  4218.877 	     -0.055
  4219.635 	     -0.123
  4220.393 	     -0.140
  4221.151 	     -0.010
  4221.910 	     -0.067
  4222.668 	     -0.038
  4223.427 	     -0.029
  4224.186 	     -0.072
  4224.945 	     -0.099
  4225.704 	      0.008
  4226.463 	      0.048
  4227.222 	     -0.032
  4227.982 	     -0.135
  4228.741 	     -0.091
  4229.501 	     -0.014
  4230.261 	      0.097
  4231.021 	     -0.082
  4231.781 	     -0.116
  4232.542 	     -0.117
  4233.302 	     -0.086
  4234.063 	     -0.005
  4234.823 	     -0.039
  4235.584 	     -0.086
  4236.345 	     -0.136
  4237.106 	     -0.025
  4237.868 	      0.029
  4238.629 	      0.081
  4239.390 	      0.126
  4240.152 	      0.080
  4240.914 	     -0.020
  4241.676 	     -0.072
  4242.438 	     -0.076
  4243.200 	      0.101
  4243.963 	      0.004
  4244.725 	     -0.051
  4245.488 	     -0.068
