WV      	 Sigma   
4176.646	    0.235
4177.397	    0.219
4178.147	    0.206
4178.898	    0.184
4179.649	    0.130
4180.400	    0.038
4181.151	    0.141
4181.902	    0.206
4182.653	    0.263
4183.405	    0.296
4184.157	    0.328
4184.908	    0.358
4185.660	    0.405
4186.412	    0.430
4187.164	    0.459
4187.917	    0.496
4188.669	    0.229
4189.422	    0.150
4190.174	    0.075
4190.927	    0.155
4191.680	    0.172
4192.433	    0.252
4193.186	    0.281
4193.940	    0.232
4194.693	    0.308
4195.447	    0.202
4196.201	    0.155
4196.955	    0.372
4199.972	    0.246
4200.726	    0.286
4201.481	    0.195
4202.236	    0.130
4202.991	    0.293
4203.746	    0.325
4204.501	    0.209
4205.257	    0.135
4206.012	    0.360
4206.768	    0.255
4207.524	    0.125
4208.280	    0.125
4209.036	    0.385
4209.792	    0.289
4210.548	    0.216
4211.305	    0.053
4212.061	    0.266
4212.818	    0.310
4213.575	    0.213
4214.332	    0.113
4215.089	    0.252
4215.846	    0.274
4216.604	    0.213
4217.361	    0.130
4218.119	    0.099
4218.877	    0.075
4219.635	    0.238
4220.393	    0.293
4221.151	    0.258
4221.910	    0.146
4222.668	    0.222
4223.427	    0.252
4224.186	    0.206
4224.945	    0.325
4225.704	    0.338
4226.463	    0.314
4227.222	    0.229
4227.982	    0.276
4228.741	    0.188
4229.501	    0.155
4230.261	    0.308
4231.021	    0.206
4231.781	    0.184
4232.542	    0.241
4233.302	    0.346
4234.063	    0.099
4234.823	    0.303
4235.584	    0.317
4236.345	    0.168
4237.106	    0.266
4237.868	    0.271
4238.629	    0.417
4239.390	    0.480
4240.152	    0.374
4240.914	    0.271
4241.676	    0.206
4242.438	    0.141
4243.200	    0.310
4243.963	    0.065
4244.725	    0.268
4245.488	    0.332
4246.250	    0.238
4247.013	    0.075
4252.357	    0.209
4253.121	    0.106
4253.886	    0.150
4254.650	    0.168
4255.414	    0.188
4256.179	    0.192
4256.944	    0.113
4257.708	    0.260
4258.473	    0.354
4259.238	    0.281
4260.004	    0.206
4260.769	    0.268
4261.535	    0.387
4262.300	    0.216
4263.066	    0.268
4263.832	    0.314
4264.598	    0.340
4265.364	    0.222
4266.130	    0.232
4266.897	    0.301
4267.664	    0.266
4268.430	    0.301
4269.197	    0.252
4269.964	    0.053
4270.731	    0.274
4271.499	    0.423
4272.266	    0.192
4273.034	    0.260
4273.801	    0.328
4274.569	    0.435
4275.337	    0.483
4276.105	    0.381
4276.874	    0.317
4277.642	    0.317
4278.411	    0.113
4279.179	    0.176
4279.948	    0.209
4280.717	    0.232
4281.486	    0.244
4282.255	    0.146
4283.025	    0.219
4283.794	    0.344
4284.564	    0.394
4285.334	    0.370
4286.104	    0.305
4286.874	    0.229
4287.644	    0.172
4288.414	    0.202
4289.185	    0.188
4289.955	    0.155
4290.726	    0.106
4291.497	    0.225
4292.268	    0.323
4293.039	    0.323
4293.811	    0.263
4294.582	    0.176
4295.354	    0.366
4296.125	    0.317
4296.897	    0.209
4297.669	    0.238
4298.441	    0.340
4299.214	    0.249
4299.986	    0.176
4300.759	    0.249
4301.531	    0.301
4302.304	    0.274
4303.077	    0.336
4303.850	    0.188
4304.623	    0.038
4305.397	    0.301
4306.170	    0.338
4306.944	    0.354
4307.718	    0.446
4308.492	    0.289
4309.266	    0.195
4310.040	    0.176
4310.814	    0.255
4311.589	    0.053
4312.364	    0.150
4313.138	    0.141
4313.913	    0.065
4314.688	    0.075
4315.464	    0.281
4316.239	    0.310
4317.014	    0.279
4317.790	    0.176
4318.566	    0.184
4319.342	    0.038
4320.118	    0.099
4320.894	    0.213
4321.670	    0.332
4322.447	    0.408
4323.223	    0.399
4324.000	    0.317
4324.777	    0.176
4325.554	    0.274
4326.331	    0.328
4327.108	    0.356
4327.886	    0.342
4328.663	    0.360
4329.441	    0.298
4330.219	    0.246
4330.997	    0.238
4331.775	    0.176
4332.553	    0.164
4333.332	    0.222
4334.110	    0.276
4334.889	    0.206
4335.668	    0.216
4336.447	    0.199
4337.226	    0.344
4338.005	    0.308
4338.784	    0.084
4339.564	    0.119
4340.344	    0.176
4341.123	    0.344
4341.903	    0.192
4342.683	    0.271
4343.464	    0.106
4344.244	    0.319
4345.024	    0.289
4345.805	    0.274
4346.586	    0.344
4347.367	    0.344
4348.148	    0.258
4348.929	    0.195
4349.710	    0.232
4350.492	    0.176
4351.274	    0.099
4352.055	    0.229
4352.837	    0.202
4353.619	    0.192
4354.402	    0.225
4355.184	    0.321
4355.966	    0.360
4356.749	    0.370
4357.532	    0.352
4358.315	    0.348
4359.098	    0.451
4359.881	    0.328
4360.664	    0.281
4361.448	    0.323
4362.231	    0.423
4363.015	    0.432
4363.799	    0.065
4364.583	    0.219
4365.367	    0.188
4366.151	    0.188
4366.936	    0.246
4367.720	    0.206
4368.505	    0.258
4369.290	    0.401
4370.075	    0.504
4370.860	    0.279
4371.645	    0.362
4372.431	    0.488
4373.216	    0.418
4374.002	    0.296
4374.788	    0.418
4375.574	    0.430
4376.360	    0.303
4377.146	    0.125
4377.933	    0.084
4378.719	    0.038
4379.506	    0.113
4380.293	    0.176
4385.017	    0.446
4385.805	    0.396
4386.593	    0.496
4387.381	    0.611
4388.169	    0.301
4388.958	    0.374
4389.746	    0.438
4390.535	    0.459
4391.324	    0.291
4392.113	    0.202
4392.902	    0.238
4393.691	    0.303
4394.480	    0.368
4395.270	    0.396
4396.059	    0.317
4396.849	    0.338
4397.639	    0.396
4398.429	    0.448
4399.220	    0.448
4400.010	    0.418
4400.801	    0.440
4401.591	    0.491
4402.382	    0.534
4403.173	    0.310
4403.964	    0.298
4404.755	    0.381
4405.547	    0.475
4406.338	    0.296
4407.130	    0.427
4407.922	    0.408
4408.714	    0.330
4409.506	    0.249
4410.298	    0.474
4411.090	    0.454
4411.883	    0.448
4412.675	    0.428
4413.468	    0.135
4414.261	    0.232
4415.054	    0.038
4415.848	    0.135
4416.641	    0.130
4417.434	    0.150
4418.228	    0.260
4419.022	    0.209
4419.816	    0.213
4420.610	    0.452
4421.404	    0.518
4422.199	    0.488
4422.993	    0.344
4423.788	    0.106
4424.583	    0.354
4425.377	    0.328
4426.173	    0.199
4426.968	    0.199
4427.763	    0.099
4428.559	    0.380
4429.354	    0.213
4430.150	    0.065
4430.946	    0.065
4431.742	    0.172
4432.538	    0.319
4433.335	    0.314
4434.131	    0.188
4434.928	    0.141
4435.725	    0.141
4436.522	    0.319
4437.319	    0.321
4438.116	    0.244
4438.913	    0.172
4439.711	    0.325
4440.509	    0.293
4441.306	    0.281
4442.104	    0.225
4442.902	    0.130
4443.701	    0.141
4444.499	    0.296
4445.298	    0.150
4446.096	    0.213
4446.895	    0.274
4447.694	    0.084
4448.493	    0.276
4449.292	    0.328
4450.092	    0.340
4450.891	    0.332
4451.691	    0.378
4452.491	    0.099
4453.291	    0.099
4454.091	    0.065
4454.891	    0.249
4455.691	    0.412
4456.492	    0.106
4457.293	    0.180
4458.093	    0.176
4458.894	    0.176
4459.695	    0.392
4460.497	    0.274
4461.298	    0.195
4462.100	    0.164
4462.901	    0.146
4463.703	    0.370
4464.505	    0.340
4465.307	    0.305
4466.109	    0.263
4466.912	    0.164
4467.714	    0.241
4468.517	    0.222
4469.320	    0.271
4470.123	    0.328
4470.926	    0.325
4471.729	    0.323
4472.533	    0.321
4473.336	    0.319
4474.140	    0.317
4474.944	    0.314
4475.748	    0.312
4476.552	    0.312
4477.356	    0.310
4478.161	    0.308
4478.965	    0.308
4479.770	    0.305
4480.575	    0.303
4481.380	    0.303
4482.185	    0.301
4482.990	    0.298
4483.796	    0.296
4484.601	    0.296
4485.407	    0.293
4486.213	    0.293
4487.019	    0.291
4487.825	    0.289
4488.631	    0.286
4489.438	    0.284
4490.244	    0.279
4491.051	    0.276
4491.858	    0.271
4492.665	    0.268
4493.472	    0.266
4494.280	    0.260
4495.087	    0.255
4495.895	    0.249
4496.702	    0.244
4497.510	    0.241
4498.318	    0.235
4499.127	    0.229
4499.935	    0.274
4500.743	    0.053
4501.552	    0.038
4502.361	    0.255
4503.170	    0.398
4503.979	    0.180
4504.788	    0.303
4505.597	    0.213
4506.407	    0.168
4507.216	    0.146
4508.026	    0.244
4508.836	    0.301
4509.646	    0.296
4510.456	    0.276
4511.267	    0.301
4512.077	    0.317
4512.888	    0.321
4513.699	    0.235
4514.510	    0.053
4515.321	    0.130
4516.132	    0.075
4516.943	    0.232
4517.755	    0.266
4518.567	    0.249
4519.379	    0.188
4520.191	    0.119
4521.003	    0.216
4521.815	    0.222
4522.627	    0.184
4523.440	    0.092
4524.253	    0.348
4525.065	    0.255
4525.878	    0.342
4526.692	    0.399
4527.505	    0.406
4528.318	    0.370
4529.132	    0.125
4529.946	    0.188
4530.759	    0.038
4531.573	    0.146
4532.388	    0.325
4533.202	    0.289
4534.016	    0.293
4534.831	    0.317
4535.646	    0.286
4536.461	    0.053
4537.276	    0.092
4538.091	    0.092
4538.906	    0.092
4539.722	    0.192
4540.537	    0.276
4541.353	    0.202
4542.169	    0.092
4542.985	    0.053
4543.801	    0.065
4544.618	    0.168
4545.434	    0.308
4546.251	    0.195
4547.068	    0.202
4547.885	    0.216
4548.702	    0.164
4549.519	    0.209
4550.336	    0.279
4551.154	    0.192
4551.972	    0.184
4552.789	    0.225
4553.607	    0.268
4554.425	    0.184
4555.244	    0.084
4556.062	    0.038
4556.881	    0.155
4557.699	    0.249
4558.518	    0.268
4559.337	    0.159
4560.156	    0.225
4560.976	    0.246
4561.795	    0.199
4562.615	    0.146
4563.435	    0.180
4564.254	    0.184
4565.074	    0.235
4565.895	    0.263
4566.715	    0.235
4567.535	    0.155
4568.356	    0.255
4569.177	    0.084
4569.998	    0.312
4570.819	    0.441
4571.640	    0.440
4572.461	    0.321
4573.283	    0.401
4574.105	    0.443
4574.926	    0.425
4575.748	    0.323
4576.570	    0.387
4577.393	    0.284
4578.215	    0.255
4579.038	    0.263
4579.860	    0.281
4580.683	    0.296
4581.506	    0.258
4582.329	    0.084
4583.153	    0.141
4583.976	    0.155
