wlen 	 newgal_spectrum 
  4184.326 	      0.098
  4185.077 	      0.101
  4185.828 	      0.083
  4186.580 	      0.043
  4187.331 	     -0.027
  4188.083 	     -0.019
  4188.835 	     -0.022
  4189.586 	     -0.045
  4190.339 	     -0.033
  4191.091 	     -0.007
  4191.843 	      0.016
  4192.595 	      0.033
  4193.348 	      0.001
  4194.101 	     -0.046
  4194.853 	     -0.060
  4195.606 	     -0.013
  4196.359 	     -0.028
  4197.113 	     -0.014
  4197.866 	     -0.002
  4198.620 	      0.001
  4199.373 	     -0.012
  4200.127 	     -0.022
  4200.881 	     -0.028
  4201.635 	     -0.028
  4202.389 	     -0.052
  4203.143 	      0.039
  4203.898 	      0.096
  4204.652 	      0.040
  4205.407 	      0.083
  4206.162 	      0.063
  4206.917 	      0.029
  4207.672 	     -0.015
  4208.427 	      0.052
  4209.183 	      0.045
  4209.938 	      0.028
  4210.694 	      0.009
  4211.450 	     -0.001
  4212.206 	     -0.024
  4212.962 	     -0.022
  4213.718 	      0.048
  4214.474 	      0.024
  4215.231 	      0.025
  4215.987 	      0.035
  4216.744 	      0.059
  4217.501 	     -0.025
  4218.258 	     -0.023
  4219.015 	     -0.005
  4219.773 	      0.026
  4220.530 	     -0.002
  4221.288 	      0.042
  4222.045 	      0.087
  4222.803 	      0.111
  4223.561 	      0.052
  4224.319 	      0.023
  4225.077 	      0.019
  4225.836 	      0.059
  4226.594 	      0.058
  4227.353 	      0.029
  4228.112 	      0.006
  4228.871 	      0.004
  4229.630 	      0.103
  4230.389 	      0.026
  4231.148 	     -0.025
  4231.908 	     -0.018
  4232.667 	      0.097
  4233.427 	      0.110
  4234.187 	      0.091
  4234.947 	      0.036
  4235.707 	      0.089
  4236.468 	      0.086
  4237.228 	      0.074
  4237.989 	      0.053
  4238.749 	      0.096
  4239.510 	      0.092
  4240.271 	      0.067
  4241.032 	      0.023
  4241.793 	      0.036
  4242.555 	      0.118
  4243.316 	      0.140
  4244.078 	      0.114
  4244.840 	      0.059
  4245.602 	      0.005
  4246.364 	     -0.017
  4247.126 	     -0.013
  4247.888 	      0.050
  4248.651 	      0.070
  4249.413 	      0.063
  4250.176 	      0.052
  4250.939 	      0.095
  4251.702 	      0.086
  4252.465 	      0.090
  4253.229 	      0.088
  4253.992 	      0.031
  4254.756 	      0.014
  4255.519 	      0.027
  4256.283 	      0.035
  4257.047 	      0.023
  4257.811 	      0.022
  4258.575 	      0.027
  4259.340 	      0.042
  4260.104 	      0.074
  4260.869 	      0.058
  4261.634 	      0.044
  4262.399 	      0.041
  4263.164 	      0.055
  4263.929 	     -0.007
  4264.695 	      0.021
  4265.460 	      0.030
  4266.226 	      0.013
  4266.991 	      0.055
  4267.757 	      0.057
  4268.523 	      0.114
  4269.290 	      0.194
  4270.056 	      0.101
  4270.822 	      0.046
  4271.589 	      0.056
  4272.356 	      0.076
  4273.123 	      0.002
  4273.890 	      0.085
  4274.657 	      0.078
  4275.424 	      0.063
  4276.191 	      0.107
  4276.959 	      0.066
  4277.727 	      0.049
  4278.494 	      0.055
  4279.262 	      0.103
  4280.031 	      0.033
  4280.799 	      0.084
  4281.567 	      0.115
  4282.336 	      0.111
  4283.104 	      0.060
  4283.873 	      0.003
  4284.642 	     -0.000
  4285.411 	      0.039
  4286.180 	      0.078
  4286.950 	      0.102
  4287.719 	      0.095
  4288.489 	      0.066
  4289.259 	     -0.010
  4290.029 	      0.038
  4290.799 	      0.066
  4291.569 	      0.092
  4292.339 	      0.131
  4293.110 	      0.127
  4293.880 	      0.124
  4294.651 	      0.110
  4295.422 	      0.076
  4296.193 	      0.100
  4296.964 	      0.080
  4297.735 	      0.053
  4298.507 	      0.027
  4299.278 	      0.051
  4300.050 	      0.054
  4300.822 	      0.111
  4301.594 	      0.155
  4302.366 	      0.051
  4303.138 	      0.094
  4303.910 	      0.095
  4304.683 	      0.070
  4305.456 	      0.006
  4306.229 	      0.019
  4307.001 	      0.027
  4307.775 	      0.037
  4308.548 	      0.047
  4309.321 	     -0.028
  4310.095 	      0.093
  4310.868 	      0.084
  4311.642 	      0.007
  4312.416 	      0.013
  4313.190 	      0.077
  4313.964 	      0.066
  4314.739 	      0.052
  4315.513 	      0.093
  4316.288 	      0.092
  4317.062 	      0.067
  4317.837 	      0.078
  4318.612 	      0.142
  4319.388 	      0.151
  4320.163 	      0.130
  4320.938 	      0.106
  4321.714 	      0.082
  4322.490 	      0.082
  4323.266 	      0.075
  4324.042 	      0.089
  4324.818 	      0.103
  4325.594 	      0.095
  4326.370 	      0.122
  4327.147 	      0.070
  4327.924 	      0.021
  4328.700 	     -0.012
  4329.477 	      0.019
  4330.255 	      0.035
  4331.032 	      0.067
  4331.809 	      0.092
  4332.587 	      0.059
  4333.364 	      0.075
  4334.142 	      0.101
  4334.920 	      0.094
  4335.698 	      0.012
  4336.477 	      0.147
  4337.255 	      0.065
  4338.034 	      0.041
  4338.812 	      0.083
  4339.591 	      0.042
  4340.370 	      0.048
  4341.149 	      0.055
  4341.928 	      0.066
  4342.708 	      0.088
  4343.487 	      0.043
  4344.267 	      0.077
  4345.046 	      0.082
  4345.826 	      0.036
  4346.606 	      0.054
  4347.387 	      0.006
  4348.167 	      0.015
  4348.947 	      0.057
  4349.728 	      0.096
  4350.509 	      0.076
  4351.290 	      0.110
  4352.071 	      0.131
  4352.852 	      0.112
  4353.633 	      0.118
  4354.415 	      0.132
  4355.196 	      0.123
  4355.978 	      0.099
  4356.760 	      0.110
  4357.542 	      0.123
  4358.324 	      0.116
  4359.106 	      0.101
  4359.889 	      0.074
  4360.671 	      0.020
  4361.454 	      0.008
  4362.237 	     -0.009
  4363.020 	     -0.029
  4363.803 	     -0.047
  4364.587 	      0.008
  4365.370 	      0.020
  4366.153 	      0.020
  4366.937 	      0.031
  4367.721 	      0.054
  4368.505 	      0.063
  4369.289 	      0.047
  4370.073 	      0.016
  4370.858 	      0.014
  4371.642 	      0.024
  4372.427 	      0.053
  4373.212 	      0.091
  4373.997 	      0.135
  4374.782 	      0.198
  4375.567 	      0.102
  4376.353 	      0.054
  4377.138 	      0.058
  4377.924 	      0.090
  4385.001 	      0.128
  4385.788 	      0.165
  4386.576 	      0.123
  4387.363 	      0.089
  4388.151 	      0.090
  4388.938 	      0.095
  4389.726 	      0.093
  4390.514 	      0.071
  4391.302 	      0.053
  4392.090 	      0.080
  4392.879 	      0.117
  4393.667 	      0.079
  4394.456 	      0.054
  4395.245 	      0.061
  4396.033 	      0.112
  4396.823 	      0.083
  4397.612 	      0.086
  4398.401 	      0.103
  4399.191 	      0.123
  4399.980 	      0.089
  4400.770 	      0.027
  4401.560 	      0.022
  4402.350 	      0.058
  4403.140 	      0.073
  4403.931 	      0.077
  4404.721 	      0.084
  4405.512 	      0.069
  4406.302 	      0.024
  4407.093 	      0.066
  4407.884 	      0.021
  4408.676 	      0.065
  4409.467 	      0.130
  4410.258 	      0.143
  4411.050 	      0.114
  4411.842 	      0.122
  4412.634 	      0.099
  4413.426 	      0.060
  4414.218 	      0.087
  4415.010 	      0.102
  4415.803 	      0.105
  4416.595 	      0.122
  4417.388 	      0.159
  4418.181 	      0.072
  4418.974 	      0.092
  4419.767 	      0.044
  4420.561 	      0.000
  4421.354 	      0.044
  4422.148 	      0.044
  4422.941 	      0.041
  4423.735 	      0.026
  4424.529 	      0.010
  4425.324 	      0.004
  4426.118 	      0.037
  4426.912 	      0.061
  4427.707 	      0.072
  4428.502 	      0.075
  4429.297 	      0.107
  4430.092 	      0.060
  4430.887 	      0.047
  4431.682 	      0.049
  4432.478 	      0.056
  4433.273 	      0.033
  4434.069 	      0.024
  4434.865 	      0.042
  4435.661 	      0.052
  4436.457 	     -0.011
  4437.253 	      0.030
  4438.050 	      0.082
  4438.847 	      0.087
  4439.643 	      0.056
  4440.440 	      0.022
  4441.237 	      0.027
  4442.034 	      0.031
  4442.832 	      0.024
  4443.629 	      0.006
  4444.427 	     -0.017
  4445.225 	     -0.016
  4446.023 	      0.011
  4446.821 	      0.043
  4447.619 	      0.065
  4448.417 	      0.035
  4449.216 	     -0.002
  4450.014 	     -0.013
  4450.813 	     -0.006
  4451.612 	      0.014
  4452.411 	      0.022
  4453.210 	      0.021
  4454.009 	      0.033
  4454.809 	      0.048
  4455.609 	      0.055
  4456.408 	     -0.009
  4457.208 	     -0.044
  4458.008 	     -0.050
  4458.808 	     -0.035
  4459.609 	     -0.011
  4460.409 	     -0.005
  4461.210 	     -0.020
  4462.011 	     -0.035
  4462.812 	     -0.044
  4463.613 	     -0.047
  4464.414 	     -0.034
  4465.215 	     -0.011
  4466.017 	      0.014
  4466.818 	      0.036
  4467.620 	      0.025
  4468.422 	     -0.018
  4469.224 	     -0.030
  4470.026 	     -0.019
  4470.829 	      0.008
  4471.631 	      0.013
  4472.434 	     -0.024
  4473.237 	     -0.055
  4474.039 	     -0.073
  4474.843 	     -0.070
  4475.646 	     -0.036
  4476.449 	      0.008
  4477.253 	      0.037
  4478.056 	      0.046
  4478.860 	      0.036
  4479.664 	      0.046
  4480.468 	      0.036
  4481.272 	      0.029
  4482.077 	      0.026
  4482.881 	      0.029
  4483.686 	      0.037
  4484.491 	      0.046
  4485.296 	      0.051
  4486.101 	      0.048
  4486.906 	      0.041
  4487.711 	      0.033
  4488.517 	      0.026
  4489.322 	      0.022
  4490.128 	      0.021
  4490.934 	      0.021
  4491.740 	      0.021
  4492.547 	      0.050
  4493.353 	      0.003
  4494.160 	     -0.039
  4494.966 	     -0.008
  4495.773 	      0.104
  4496.580 	     -0.016
  4497.387 	     -0.022
  4498.194 	      0.001
  4499.002 	     -0.012
  4499.809 	      0.036
  4500.617 	      0.052
  4501.425 	      0.042
  4502.233 	      0.022
  4503.041 	      0.002
  4503.849 	     -0.009
  4504.658 	     -0.019
  4505.466 	     -0.029
  4506.275 	     -0.029
  4507.084 	     -0.005
  4507.893 	      0.048
  4508.702 	      0.066
  4509.511 	      0.057
  4510.321 	      0.034
  4511.130 	      0.005
  4511.940 	     -0.016
  4512.750 	      0.018
  4513.560 	      0.055
  4514.370 	      0.061
  4515.180 	      0.026
  4515.991 	     -0.033
  4516.802 	     -0.007
  4517.612 	      0.045
  4518.423 	      0.077
  4519.234 	      0.068
  4520.045 	      0.005
  4520.857 	     -0.054
  4521.668 	     -0.072
  4522.480 	     -0.065
  4523.292 	     -0.042
  4524.103 	     -0.008
  4524.916 	      0.014
  4525.728 	      0.010
  4526.540 	     -0.012
  4527.353 	     -0.039
  4528.165 	     -0.051
  4528.978 	     -0.002
  4529.791 	      0.030
  4530.604 	      0.038
  4531.417 	      0.030
  4532.231 	      0.017
  4533.044 	      0.032
  4533.858 	      0.031
  4534.672 	      0.016
  4535.486 	     -0.005
  4536.300 	     -0.021
  4537.114 	     -0.023
  4537.928 	      0.009
  4538.743 	      0.053
  4539.558 	      0.081
  4540.372 	      0.075
  4541.187 	      0.028
  4542.002 	      0.021
  4542.818 	      0.048
  4543.633 	      0.064
  4544.449 	      0.051
  4545.264 	      0.001
  4546.080 	     -0.048
  4546.896 	     -0.053
  4547.712 	     -0.039
  4548.529 	     -0.017
  4549.345 	     -0.003
  4550.162 	      0.003
  4550.979 	     -0.003
  4551.795 	     -0.003
  4552.612 	      0.003
  4553.430 	      0.018
  4554.247 	      0.025
  4555.064 	      0.031
  4555.882 	      0.050
  4556.700 	      0.070
  4557.518 	      0.083
  4558.336 	      0.055
  4559.154 	      0.002
  4559.972 	     -0.030
  4560.791 	     -0.041
  4561.609 	     -0.029
  4562.428 	      0.002
  4563.247 	      0.011
  4564.066 	     -0.023
  4564.885 	     -0.050
  4565.705 	     -0.056
  4566.524 	     -0.030
  4567.344 	     -0.002
  4568.164 	     -0.018
  4568.984 	     -0.022
  4569.804 	     -0.004
  4570.624 	      0.033
  4571.445 	      0.051
  4572.265 	      0.004
  4573.086 	     -0.036
  4573.907 	     -0.055
  4574.728 	     -0.051
