WV      	 Sigma   
4184.326	    0.020
4185.077	    0.022
4185.828	    0.019
4186.580	    0.006
4187.331	    0.033
4188.083	    0.037
4188.835	    0.034
4189.586	    0.020
4190.339	    0.026
4191.091	    0.038
4191.843	    0.041
4192.595	    0.034
4193.348	    0.055
4194.101	    0.029
4194.853	    0.023
4195.606	    0.010
4196.359	    0.053
4197.113	    0.066
4197.866	    0.073
4198.620	    0.069
4199.373	    0.039
4200.127	    0.018
4200.881	    0.022
4201.635	    0.032
4202.389	    0.010
4203.143	    0.043
4203.898	    0.063
4204.652	    0.079
4205.407	    0.063
4206.162	    0.036
4206.917	    0.038
4207.672	    0.066
4208.427	    0.006
4209.183	    0.038
4209.938	    0.049
4210.694	    0.056
4211.450	    0.031
4212.206	    0.024
4212.962	    0.043
4213.718	    0.051
4214.474	    0.035
4215.231	    0.020
4215.987	    0.044
4216.744	    0.056
4217.501	    0.048
4218.258	    0.052
4219.015	    0.047
4219.773	    0.024
4220.530	    0.052
4221.288	    0.036
4222.045	    0.021
4222.803	    0.049
4223.561	    0.034
4224.319	    0.038
4225.077	    0.043
4225.836	    0.043
4226.594	    0.049
4227.353	    0.043
4228.112	    0.036
4228.871	    0.036
4229.630	    0.067
4230.389	    0.043
4231.148	    0.045
4231.908	    0.085
4232.667	    0.076
4233.427	    0.080
4234.187	    0.075
4234.947	    0.060
4235.707	    0.036
4236.468	    0.074
4237.228	    0.063
4237.989	    0.064
4238.749	    0.013
4239.510	    0.055
4240.271	    0.063
4241.032	    0.056
4241.793	    0.077
4242.555	    0.081
4243.316	    0.069
4244.078	    0.033
4244.840	    0.047
4245.602	    0.047
4246.364	    0.041
4247.126	    0.026
4247.888	    0.056
4248.651	    0.067
4249.413	    0.068
4250.176	    0.065
4250.939	    0.068
4251.702	    0.055
4252.465	    0.022
4253.229	    0.037
4253.992	    0.032
4254.756	    0.065
4255.519	    0.055
4256.283	    0.032
4257.047	    0.010
4257.811	    0.049
4258.575	    0.043
4259.340	    0.020
