4.90824e-17
2 2 1109.59 1114.27
wlen	gal_spec	fit_spec	star_spec	line_spec	newgal_spectrum
  4184.326	    28.729	     1.007	     1.007	     0.000	    27.722
  4185.077	    31.493	     1.008	     1.008	    -0.000	    30.485
  4185.828	    32.312	     1.007	     1.007	     0.000	    31.304
  4186.580	    30.981	     1.007	     1.007	    -0.000	    29.974
  4187.331	    11.501	     1.006	     1.006	     0.000	    10.495
  4188.083	     5.203	     1.005	     1.005	    -0.000	     4.198
  4188.835	     1.516	     1.004	     1.004	     0.000	     0.513
  4189.586	     0.697	     1.002	     1.002	    -0.000	    -0.305
  4190.339	     0.938	     1.001	     1.001	     0.000	    -0.062
  4191.091	     0.970	     0.999	     0.999	    -0.000	    -0.029
  4191.843	     0.916	     0.997	     0.997	     0.000	    -0.081
  4192.595	     0.738	     0.995	     0.995	    -0.000	    -0.257
  4193.348	     0.720	     0.993	     0.993	     0.000	    -0.273
  4194.101	     0.782	     0.991	     0.991	    -0.000	    -0.209
  4194.853	     0.802	     0.989	     0.989	     0.000	    -0.188
  4195.606	     0.734	     0.987	     0.987	    -0.000	    -0.253
  4196.359	     0.763	     0.986	     0.986	     0.000	    -0.222
  4197.113	     0.761	     0.984	     0.984	    -0.000	    -0.223
  4197.866	     0.783	     0.982	     0.982	     0.000	    -0.199
  4198.620	     0.861	     0.981	     0.981	    -0.000	    -0.120
  4199.373	     0.796	     0.979	     0.979	     0.000	    -0.184
  4200.127	     0.764	     0.978	     0.978	    -0.000	    -0.213
  4200.881	     0.758	     0.977	     0.977	     0.000	    -0.218
  4201.635	     0.799	     0.976	     0.976	    -0.000	    -0.176
  4202.389	     0.931	     0.975	     0.975	     0.000	    -0.044
  4203.143	     1.015	     0.974	     0.974	    -0.000	     0.041
  4203.898	     1.052	     0.973	     0.973	     0.000	     0.079
  4204.652	     0.991	     0.973	     0.973	    -0.000	     0.018
  4205.407	     0.738	     0.972	     0.972	     0.000	    -0.234
  4206.162	     0.799	     0.972	     0.972	    -0.000	    -0.172
  4206.917	     0.845	     0.972	     0.972	     0.000	    -0.126
  4207.672	     0.741	     0.972	     0.972	    -0.000	    -0.231
  4208.427	     0.867	     0.971	     0.971	     0.000	    -0.105
  4209.183	     0.835	     0.971	     0.971	    -0.000	    -0.137
  4209.938	     0.777	     0.972	     0.972	     0.000	    -0.195
  4210.694	     0.713	     0.972	     0.972	    -0.000	    -0.259
  4211.450	     0.680	     0.972	     0.972	     0.000	    -0.292
  4212.206	     0.622	     0.972	     0.972	    -0.000	    -0.351
  4212.962	     0.643	     0.972	     0.972	     0.000	    -0.329
  4213.718	     0.883	     0.973	     0.973	    -0.000	    -0.089
  4214.474	     0.819	     0.973	     0.973	     0.000	    -0.154
  4215.231	     0.919	     0.973	     0.973	    -0.000	    -0.054
  4215.987	     0.984	     0.973	     0.973	     0.000	     0.011
  4216.744	     0.897	     0.973	     0.973	    -0.000	    -0.077
  4217.501	     0.861	     0.973	     0.973	     0.000	    -0.112
  4218.258	     0.851	     0.973	     0.973	    -0.000	    -0.122
  4219.015	     0.837	     0.973	     0.973	     0.000	    -0.136
  4219.773	     0.802	     0.973	     0.973	    -0.000	    -0.171
  4220.530	     0.709	     0.973	     0.973	     0.000	    -0.263
  4221.288	     0.794	     0.972	     0.972	    -0.000	    -0.179
  4222.045	     0.852	     0.972	     0.972	     0.000	    -0.120
  4222.803	     0.802	     0.971	     0.971	    -0.000	    -0.170
  4223.561	     0.773	     0.971	     0.971	     0.000	    -0.198
  4224.319	     0.793	     0.970	     0.970	    -0.000	    -0.178
  4225.077	     0.825	     0.970	     0.970	     0.000	    -0.145
  4225.836	     0.870	     0.969	     0.969	    -0.000	    -0.099
  4226.594	     0.926	     0.968	     0.968	     0.000	    -0.042
  4227.353	     0.945	     0.968	     0.968	    -0.000	    -0.023
  4228.112	     0.908	     0.967	     0.967	     0.000	    -0.059
  4228.871	     0.778	     0.967	     0.967	    -0.000	    -0.188
  4229.630	     0.664	     0.966	     0.966	     0.000	    -0.302
  4230.389	     0.724	     0.965	     0.965	    -0.000	    -0.241
  4231.148	     0.766	     0.965	     0.965	     0.000	    -0.199
  4231.908	     0.757	     0.964	     0.964	    -0.000	    -0.207
  4232.667	     0.866	     0.964	     0.964	     0.000	    -0.098
  4233.427	     0.846	     0.964	     0.964	    -0.000	    -0.118
  4234.187	     0.832	     0.963	     0.963	     0.000	    -0.132
  4234.947	     0.835	     0.963	     0.963	    -0.000	    -0.128
  4235.707	     1.047	     0.963	     0.963	     0.000	     0.084
  4236.468	     0.915	     0.963	     0.963	    -0.000	    -0.048
  4237.228	     0.773	     0.963	     0.963	     0.000	    -0.191
  4237.989	     0.631	     0.964	     0.964	    -0.000	    -0.332
  4238.749	     0.592	     0.964	     0.964	     0.000	    -0.372
  4239.510	     0.765	     0.964	     0.964	    -0.000	    -0.199
  4240.271	     0.832	     0.964	     0.964	     0.000	    -0.132
  4241.032	     0.809	     0.965	     0.965	    -0.000	    -0.155
  4241.793	     1.250	     0.965	     0.965	     0.000	     0.285
  4242.555	     0.921	     0.965	     0.965	    -0.000	    -0.045
  4243.316	     0.789	     0.966	     0.966	     0.000	    -0.177
  4244.078	     0.801	     0.966	     0.966	    -0.000	    -0.166
  4244.840	     0.747	     0.966	     0.966	     0.000	    -0.219
  4245.602	     0.854	     0.967	     0.967	    -0.000	    -0.113
  4246.364	     0.908	     0.967	     0.967	     0.000	    -0.059
  4247.126	     0.912	     0.967	     0.967	    -0.000	    -0.055
  4247.888	     0.718	     0.967	     0.967	     0.000	    -0.249
  4248.651	     0.788	     0.967	     0.967	    -0.000	    -0.180
  4249.413	     0.816	     0.967	     0.967	     0.000	    -0.151
  4250.176	     0.824	     0.967	     0.967	    -0.000	    -0.144
  4250.939	     0.816	     0.967	     0.967	     0.000	    -0.151
  4251.702	     0.789	     0.967	     0.967	    -0.000	    -0.178
  4252.465	     0.848	     0.967	     0.967	     0.000	    -0.119
  4253.229	     0.921	     0.967	     0.967	    -0.000	    -0.045
  4253.992	     0.934	     0.966	     0.966	     0.000	    -0.032
  4254.756	     0.856	     0.966	     0.966	    -0.000	    -0.110
  4255.519	     0.805	     0.966	     0.966	     0.000	    -0.161
  4256.283	     0.770	     0.965	     0.965	    -0.000	    -0.195
  4257.047	     0.767	     0.965	     0.965	     0.000	    -0.198
  4257.811	     0.807	     0.965	     0.965	    -0.000	    -0.157
  4258.575	     0.794	     0.964	     0.964	     0.000	    -0.171
  4259.340	     0.812	     0.964	     0.964	    -0.000	    -0.152
  4260.104	     0.915	     0.964	     0.964	     0.000	    -0.049
  4260.869	     0.887	     0.963	     0.963	    -0.000	    -0.076
  4261.634	     0.873	     0.963	     0.963	     0.000	    -0.090
  4262.399	     0.778	     0.963	     0.963	    -0.000	    -0.185
  4263.164	     0.567	     0.963	     0.963	     0.000	    -0.396
  4263.929	     0.606	     0.963	     0.963	    -0.000	    -0.357
  4264.695	     0.666	     0.963	     0.963	     0.000	    -0.297
  4265.460	     0.746	     0.963	     0.963	    -0.000	    -0.217
  4266.226	     0.838	     0.963	     0.963	     0.000	    -0.125
  4266.991	     0.720	     0.963	     0.963	    -0.000	    -0.243
  4267.757	     0.722	     0.963	     0.963	     0.000	    -0.241
  4268.523	     0.686	     0.963	     0.963	    -0.000	    -0.278
  4269.290	     0.662	     0.963	     0.963	     0.000	    -0.302
  4270.056	     1.057	     0.964	     0.964	    -0.000	     0.093
  4270.822	     0.949	     0.964	     0.964	     0.000	    -0.015
  4271.589	     0.822	     0.964	     0.964	    -0.000	    -0.142
  4272.356	     0.714	     0.964	     0.964	     0.000	    -0.250
  4273.123	     0.761	     0.964	     0.964	    -0.000	    -0.203
  4273.890	     0.982	     0.964	     0.964	     0.000	     0.019
  4274.657	     0.908	     0.964	     0.964	    -0.000	    -0.056
  4275.424	     0.748	     0.964	     0.964	     0.000	    -0.215
  4276.191	     0.585	     0.963	     0.963	    -0.000	    -0.378
  4276.959	     0.724	     0.963	     0.963	     0.000	    -0.240
  4277.727	     0.831	     0.963	     0.963	    -0.000	    -0.132
  4278.494	     0.895	     0.963	     0.963	     0.000	    -0.067
  4279.262	     0.888	     0.962	     0.962	    -0.000	    -0.074
  4280.031	     0.727	     0.962	     0.962	     0.000	    -0.235
  4280.799	     0.740	     0.962	     0.962	    -0.000	    -0.222
  4281.567	     0.722	     0.961	     0.961	     0.000	    -0.239
  4282.336	     0.657	     0.961	     0.961	    -0.000	    -0.304
  4283.104	     0.715	     0.961	     0.961	     0.000	    -0.245
  4283.873	     0.766	     0.960	     0.960	    -0.000	    -0.194
  4284.642	     0.859	     0.960	     0.960	     0.000	    -0.101
  4285.411	     0.966	     0.960	     0.960	    -0.000	     0.006
  4286.180	     0.889	     0.960	     0.960	     0.000	    -0.070
  4286.950	     0.870	     0.959	     0.959	    -0.000	    -0.090
  4287.719	     0.845	     0.959	     0.959	     0.000	    -0.114
  4288.489	     0.816	     0.959	     0.959	    -0.000	    -0.143
  4289.259	     0.779	     0.959	     0.959	     0.000	    -0.180
  4290.029	     0.866	     0.959	     0.959	    -0.000	    -0.092
  4290.799	     0.852	     0.959	     0.959	     0.000	    -0.106
  4291.569	     0.820	     0.959	     0.959	    -0.000	    -0.139
  4292.339	     0.801	     0.959	     0.959	     0.000	    -0.157
  4293.110	     0.798	     0.959	     0.959	    -0.000	    -0.161
  4293.880	     0.680	     0.959	     0.959	     0.000	    -0.279
  4294.651	     0.628	     0.959	     0.959	    -0.000	    -0.331
  4295.422	     0.689	     0.959	     0.959	     0.000	    -0.271
  4296.193	     0.705	     0.959	     0.959	    -0.000	    -0.255
  4296.964	     0.850	     0.960	     0.960	     0.000	    -0.110
  4297.735	     0.868	     0.960	     0.960	    -0.000	    -0.092
  4298.507	     0.781	     0.960	     0.960	     0.000	    -0.179
  4299.278	     0.722	     0.960	     0.960	    -0.000	    -0.239
  4300.050	     0.734	     0.960	     0.960	     0.000	    -0.226
  4300.822	     0.692	     0.960	     0.960	    -0.000	    -0.269
  4301.594	     0.662	     0.961	     0.961	     0.000	    -0.298
  4302.366	     0.803	     0.961	     0.961	    -0.000	    -0.158
  4303.138	     0.619	     0.961	     0.961	     0.000	    -0.341
  4303.910	     0.834	     0.961	     0.961	    -0.000	    -0.127
  4304.683	     0.954	     0.961	     0.961	     0.000	    -0.007
  4305.456	     0.670	     0.961	     0.961	    -0.000	    -0.291
  4306.229	     1.017	     0.961	     0.961	     0.000	     0.057
  4307.001	     1.027	     0.961	     0.961	    -0.000	     0.066
  4307.775	     0.981	     0.960	     0.960	     0.000	     0.021
  4308.548	     0.904	     0.960	     0.960	    -0.000	    -0.057
  4309.321	     0.831	     0.960	     0.960	     0.000	    -0.129
  4310.095	     0.808	     0.960	     0.960	    -0.000	    -0.152
  4310.868	     0.851	     0.959	     0.959	     0.000	    -0.109
  4311.642	     0.901	     0.959	     0.959	    -0.000	    -0.058
  4312.416	     0.725	     0.959	     0.959	     0.000	    -0.233
  4313.190	     0.812	     0.958	     0.958	    -0.000	    -0.146
  4313.964	     0.764	     0.958	     0.958	     0.000	    -0.194
  4314.739	     0.693	     0.957	     0.957	    -0.000	    -0.264
  4315.513	     0.671	     0.956	     0.956	     0.000	    -0.286
  4316.288	     0.913	     0.956	     0.956	    -0.000	    -0.043
  4317.062	     0.925	     0.955	     0.955	     0.000	    -0.030
  4317.837	     0.919	     0.954	     0.954	    -0.000	    -0.035
  4318.612	     0.923	     0.954	     0.954	     0.000	    -0.030
  4319.388	     0.946	     0.953	     0.953	    -0.000	    -0.007
  4320.163	     0.748	     0.952	     0.952	     0.000	    -0.204
  4320.938	     0.659	     0.951	     0.951	    -0.000	    -0.292
  4321.714	     0.682	     0.950	     0.950	     0.000	    -0.268
  4322.490	     0.958	     0.949	     0.949	    -0.000	     0.009
  4323.266	     1.021	     0.948	     0.948	     0.000	     0.074
  4324.042	     0.994	     0.947	     0.947	    -0.000	     0.047
  4324.818	     0.939	     0.946	     0.946	     0.000	    -0.007
  4325.594	     0.885	     0.945	     0.945	    -0.000	    -0.060
  4326.370	     0.867	     0.944	     0.944	     0.000	    -0.076
  4327.147	     0.819	     0.942	     0.942	    -0.000	    -0.124
  4327.924	     0.755	     0.941	     0.941	     0.000	    -0.186
  4328.700	     0.685	     0.940	     0.940	    -0.000	    -0.255
  4329.477	     0.889	     0.939	     0.939	     0.000	    -0.050
  4330.255	     0.878	     0.938	     0.938	    -0.000	    -0.060
  4331.032	     0.881	     0.937	     0.937	     0.000	    -0.056
  4331.809	     0.871	     0.936	     0.936	    -0.000	    -0.065
  4332.587	     0.735	     0.935	     0.935	     0.000	    -0.200
  4333.364	     0.946	     0.934	     0.934	    -0.000	     0.012
  4334.142	     0.904	     0.933	     0.933	     0.000	    -0.029
  4334.920	     0.840	     0.933	     0.933	    -0.000	    -0.092
  4335.698	     0.864	     0.932	     0.932	     0.000	    -0.068
  4336.477	     0.832	     0.931	     0.931	    -0.000	    -0.099
  4337.255	     0.893	     0.930	     0.930	     0.000	    -0.038
  4338.034	     0.974	     0.930	     0.930	    -0.000	     0.044
  4338.812	     1.032	     0.929	     0.929	     0.000	     0.103
  4339.591	     0.649	     0.929	     0.929	    -0.000	    -0.279
  4340.370	     0.531	     0.928	     0.928	     0.000	    -0.398
  4341.149	     0.586	     0.927	     0.927	    -0.000	    -0.341
  4341.928	     0.678	     0.927	     0.927	     0.000	    -0.249
  4342.708	     0.645	     0.926	     0.926	    -0.000	    -0.281
  4343.487	     0.795	     0.926	     0.926	     0.000	    -0.130
  4344.267	     0.698	     0.925	     0.925	    -0.000	    -0.227
  4345.046	     0.620	     0.924	     0.924	     0.000	    -0.304
  4345.826	     0.620	     0.924	     0.924	    -0.000	    -0.303
  4346.606	     0.613	     0.923	     0.923	     0.000	    -0.310
  4347.387	     0.726	     0.922	     0.922	    -0.000	    -0.195
  4348.167	     0.801	     0.920	     0.920	     0.000	    -0.119
  4348.947	     0.828	     0.919	     0.919	    -0.000	    -0.091
  4349.728	     0.743	     0.917	     0.917	     0.000	    -0.175
  4350.509	     0.676	     0.916	     0.916	    -0.000	    -0.240
  4351.290	     0.736	     0.914	     0.914	     0.000	    -0.178
  4352.071	     0.817	     0.912	     0.912	    -0.000	    -0.095
  4352.852	     0.883	     0.909	     0.909	     0.000	    -0.027
  4353.633	     0.838	     0.907	     0.907	    -0.000	    -0.069
  4354.415	     0.931	     0.904	     0.904	     0.000	     0.027
  4355.196	     0.924	     0.901	     0.901	    -0.000	     0.023
  4355.978	     0.845	     0.897	     0.897	     0.000	    -0.052
  4356.760	     0.818	     0.894	     0.894	    -0.000	    -0.076
  4357.542	     0.894	     0.890	     0.890	     0.000	     0.004
  4358.324	     0.916	     0.886	     0.886	    -0.000	     0.030
  4359.106	     0.916	     0.882	     0.882	     0.000	     0.034
  4359.889	     0.900	     0.877	     0.877	    -0.000	     0.022
  4360.671	     0.915	     0.873	     0.873	     0.000	     0.042
  4361.454	     0.944	     0.869	     0.869	    -0.000	     0.076
  4362.237	     0.926	     0.864	     0.864	     0.000	     0.063
  4363.020	     0.867	     0.859	     0.859	    -0.000	     0.008
  4363.803	     0.800	     0.855	     0.855	     0.000	    -0.055
  4364.587	     0.812	     0.850	     0.850	    -0.000	    -0.038
  4365.370	     0.797	     0.846	     0.846	     0.000	    -0.048
  4366.153	     0.763	     0.841	     0.841	    -0.000	    -0.078
  4366.937	     0.704	     0.837	     0.837	     0.000	    -0.133
  4367.721	     0.799	     0.833	     0.833	    -0.000	    -0.034
  4368.505	     0.762	     0.829	     0.829	     0.000	    -0.067
  4369.289	     0.775	     0.826	     0.826	    -0.000	    -0.050
  4370.073	     0.840	     0.822	     0.822	     0.000	     0.018
  4370.858	     0.919	     0.819	     0.819	    -0.000	     0.099
  4371.642	     0.906	     0.817	     0.817	     0.000	     0.089
  4372.427	     0.940	     0.814	     0.814	     0.000	     0.126
  4373.212	     0.933	     0.812	     0.812	     0.000	     0.120
  4373.997	     0.805	     0.811	     0.811	     0.000	    -0.006
  4374.782	     0.824	     0.809	     0.809	     0.000	     0.015
  4375.567	     0.981	     0.808	     0.808	     0.000	     0.173
  4376.353	     1.004	     0.809	     0.807	     0.002	     0.197
  4377.138	     0.896	     0.815	     0.806	     0.009	     0.090
  4377.924	     0.686	     0.836	     0.805	     0.031	    -0.119
  4378.710	     0.777	     0.889	     0.805	     0.085	    -0.027
  4379.496	     1.077	     0.992	     0.804	     0.188	     0.273
  4380.282	     1.349	     1.142	     0.804	     0.338	     0.545
  4381.068	     1.448	     1.294	     0.803	     0.491	     0.645
  4381.854	     1.297	     1.380	     0.803	     0.578	     0.495
  4382.641	     1.377	     1.352	     0.802	     0.550	     0.575
  4383.428	     1.191	     1.224	     0.801	     0.423	     0.390
  4384.214	     0.854	     1.064	     0.800	     0.264	     0.054
  4385.001	     0.691	     0.932	     0.799	     0.133	    -0.108
  4385.788	     0.635	     0.852	     0.797	     0.054	    -0.163
  4386.576	     0.750	     0.814	     0.796	     0.018	    -0.046
  4387.363	     0.858	     0.799	     0.794	     0.005	     0.064
  4388.151	     0.897	     0.793	     0.792	     0.001	     0.105
  4388.938	     0.954	     0.790	     0.790	     0.000	     0.165
  4389.726	     0.802	     0.787	     0.787	     0.000	     0.015
  4390.514	     0.718	     0.785	     0.785	     0.000	    -0.067
  4391.302	     0.670	     0.782	     0.782	     0.000	    -0.113
  4392.090	     0.606	     0.780	     0.780	     0.000	    -0.174
  4392.879	     0.714	     0.778	     0.778	    -0.000	    -0.064
  4393.667	     0.760	     0.775	     0.775	     0.000	    -0.016
  4394.456	     0.772	     0.774	     0.774	    -0.000	    -0.002
  4395.245	     0.758	     0.772	     0.772	     0.000	    -0.014
  4396.033	     0.800	     0.771	     0.771	    -0.000	     0.029
  4396.823	     0.892	     0.770	     0.770	     0.000	     0.121
  4397.612	     0.894	     0.770	     0.770	    -0.000	     0.124
  4398.401	     0.881	     0.771	     0.771	     0.000	     0.111
  4399.191	     0.909	     0.772	     0.772	    -0.000	     0.137
  4399.980	     1.033	     0.774	     0.774	     0.000	     0.260
  4400.770	     1.033	     0.776	     0.776	    -0.000	     0.257
  4401.560	     0.978	     0.780	     0.780	     0.000	     0.198
  4402.350	     0.900	     0.784	     0.784	    -0.000	     0.116
  4403.140	     0.902	     0.789	     0.789	     0.000	     0.113
  4403.931	     0.902	     0.795	     0.795	    -0.000	     0.107
  4404.721	     0.926	     0.802	     0.802	     0.000	     0.124
  4405.512	     0.921	     0.809	     0.809	    -0.000	     0.112
  4406.302	     0.873	     0.817	     0.817	     0.000	     0.056
  4407.093	     0.907	     0.825	     0.825	    -0.000	     0.081
