Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.491	    0.249	 2.147e-17	         3.772e-18	    1.565	    0.207	 8.423e-17	 1.852e-17	   -4.710	            0.378	 2803.293	 2803.293	   11.742	   21.988	    3.685
[OI]b   	 6363.800	 6423.587	    0.249	 6.927e-18	         3.772e-18	    1.565	    0.207	 2.717e-17	 1.523e-17	   -4.710	            0.378	 2803.293	 2803.293	   11.624	   56.040	    3.685
[NII]b  	 6548.100	 6610.777	    0.448	 4.516e-17	         3.337e-17	    2.137	    0.366	 2.419e-16	 1.835e-16	           -4.710	    0.378	 2855.810	 2855.810	   20.337	           75.852	    5.032
Halpha  	 6562.800	 6625.608	    0.354	 2.470e-16	         5.328e-17	    2.001	    0.273	 1.239e-15	 3.162e-16	           -4.710	    0.378	 2855.372	 2855.372	   16.007	           25.521	    4.712
[NII]a  	 6583.500	 6646.516	    0.448	 1.310e-16	         3.337e-17	    2.148	    0.366	 7.053e-16	 2.162e-16	           -4.710	    0.378	 2855.810	 2855.810	   20.227	           30.659	    5.059
[SII]a  	 6716.400	 6780.500	    0.522	 5.487e-17	         2.596e-17	    1.553	    0.340	 2.136e-16	 1.114e-16	           -4.710	    0.378	 2847.515	 2847.515	   23.059	           52.134	    3.658
[SII]b  	 6730.800	 6795.038	    0.522	 4.020e-17	         2.085e-17	    1.557	    0.340	 1.568e-16	 8.829e-17	           -4.710	    0.378	 2847.515	 2847.515	   23.010	           56.290	    3.665
Hbeta   	 4861.000	 4907.279	    3.008	 5.425e-17	         1.201e-16	    1.616	    2.118	 2.197e-16	 5.652e-16	           -4.710	    0.378	 2840.591	 2840.591	  183.719	          257.265	    3.804
[OIII]49	 4959.000	 5006.067	    4.922	 5.050e-18	         5.413e-17	    1.643	    3.443	 2.080e-17	 2.272e-16	           -4.710	    0.378	 2831.878	 2831.878	  294.707	         1092.213	    3.869
[OIII]50	 5007.000	 5054.523	    4.922	 1.515e-17	         5.413e-17	    1.643	    3.443	 6.240e-17	 2.585e-16	           -4.710	    0.378	 2831.936	 2831.936	  291.882	          414.230	    3.869
[OI]a   	 6300.300	 6359.491	    0.249	 2.147e-17	         3.772e-18	    1.565	    0.207	 8.423e-17	 1.852e-17	           -4.710	    0.378	 2803.293	 2803.293	   11.742	           21.988	    3.685
[OI]b   	 6363.800	 6423.587	    0.249	 6.927e-18	         3.772e-18	    1.565	    0.207	 2.717e-17	 1.523e-17	           -4.710	    0.378	 2803.293	 2803.293	   11.624	           56.040	    3.685
[NII]b  	 6548.100	 6610.777	    0.448	 4.516e-17	         3.337e-17	    2.137	    0.366	 2.419e-16	 1.835e-16	           -4.710	    0.378	 2855.810	 2855.810	   20.337	           75.852	    5.032
Halpha  	 6562.800	 6625.608	    0.354	 2.470e-16	         5.328e-17	    2.001	    0.273	 1.239e-15	 3.162e-16	           -4.710	    0.378	 2855.372	 2855.372	   16.007	           25.521	    4.712
[NII]a  	 6583.500	 6646.516	    0.448	 1.310e-16	         3.337e-17	    2.148	    0.366	 7.053e-16	 2.162e-16	           -4.710	    0.378	 2855.810	 2855.810	   20.227	           30.659	    5.059
[SII]a  	 6716.400	 6780.500	    0.522	 5.487e-17	         2.596e-17	    1.553	    0.340	 2.136e-16	 1.114e-16	           -4.710	    0.378	 2847.515	 2847.515	   23.059	           52.134	    3.658
[SII]b  	 6730.800	 6795.038	    0.522	 4.020e-17	         2.085e-17	    1.557	    0.340	 1.568e-16	 8.829e-17	           -4.710	    0.378	 2847.515	 2847.515	   23.010	           56.290	    3.665
Hbeta   	 4861.000	 4907.279	    3.008	 5.425e-17	         1.201e-16	    1.616	    2.118	 2.197e-16	 5.652e-16	           -4.710	    0.378	 2840.591	 2840.591	  183.719	          257.265	    3.804
[OIII]49	 4959.000	 5006.067	    4.922	 5.050e-18	         5.413e-17	    1.643	    3.443	 2.080e-17	 2.272e-16	           -4.710	    0.378	 2831.878	 2831.878	  294.707	         1092.213	    3.869
[OIII]50	 5007.000	 5054.523	    4.922	 1.515e-17	         5.413e-17	    1.643	    3.443	 6.240e-17	 2.585e-16	           -4.710	    0.378	 2831.936	 2831.936	  291.882	          414.230	    3.869
