wlen 	 newgal_spectrum 
  4259.984 	      0.016
  4260.688 	      0.015
  4261.392 	      0.015
  4262.096 	      0.014
  4262.800 	      0.014
  4263.505 	      0.013
  4264.209 	      0.013
  4264.914 	      0.012
  4265.618 	      0.012
  4266.323 	      0.012
  4267.028 	      0.011
  4267.733 	      0.011
  4268.439 	      0.010
  4269.144 	      0.010
  4269.849 	      0.010
  4270.555 	      0.009
  4271.261 	      0.008
  4271.966 	     -0.023
  4272.672 	      0.035
  4273.378 	      0.058
  4274.084 	      0.053
  4274.791 	      0.004
  4275.497 	      0.058
  4276.204 	      0.068
  4276.910 	      0.065
  4277.617 	      0.058
  4278.324 	      0.102
  4279.031 	      0.109
  4279.738 	      0.095
  4280.445 	      0.061
  4281.152 	      0.024
  4281.860 	      0.013
  4282.567 	      0.001
  4283.275 	     -0.014
  4283.983 	     -0.041
  4284.691 	     -0.031
  4285.399 	     -0.028
  4286.107 	     -0.022
  4286.815 	     -0.009
  4287.523 	      0.029
  4288.232 	      0.022
  4288.940 	      0.010
  4289.649 	     -0.001
  4290.358 	     -0.005
  4291.067 	     -0.007
  4291.776 	     -0.011
  4292.485 	     -0.012
  4293.194 	     -0.004
  4293.904 	     -0.017
  4294.613 	     -0.020
  4295.323 	     -0.016
  4296.033 	     -0.004
  4296.743 	     -0.018
  4297.453 	     -0.023
  4298.163 	     -0.011
  4298.873 	      0.013
  4299.583 	      0.006
  4300.294 	     -0.007
  4301.004 	     -0.032
  4301.715 	     -0.058
  4302.426 	     -0.070
  4303.137 	     -0.013
  4303.848 	      0.010
  4304.559 	      0.021
  4305.270 	      0.019
  4305.982 	      0.004
  4306.693 	     -0.001
  4307.405 	      0.005
  4308.117 	      0.018
  4308.829 	      0.029
  4309.541 	      0.029
  4310.253 	      0.019
  4310.965 	     -0.003
  4311.677 	     -0.047
  4312.390 	     -0.008
  4313.102 	      0.003
  4313.815 	     -0.006
  4314.528 	     -0.028
  4315.241 	      0.004
  4315.954 	     -0.009
  4316.667 	      0.016
  4317.380 	      0.047
  4318.094 	      0.062
  4318.807 	      0.045
  4319.521 	      0.039
  4320.235 	      0.029
  4320.949 	      0.015
  4321.663 	      0.005
  4322.377 	      0.013
  4323.091 	      0.037
  4323.805 	      0.059
  4324.520 	      0.056
  4325.234 	      0.047
  4325.949 	      0.042
  4326.664 	      0.031
  4327.379 	      0.011
  4328.094 	     -0.013
  4328.809 	     -0.007
  4329.524 	      0.004
  4330.240 	      0.017
  4330.955 	      0.034
  4331.671 	      0.023
  4332.387 	      0.032
  4333.103 	      0.046
  4333.819 	      0.063
  4334.535 	      0.045
  4335.251 	      0.017
  4335.968 	      0.005
  4336.684 	      0.007
  4337.401 	      0.024
  4338.117 	      0.034
  4338.834 	      0.028
  4339.551 	      0.026
  4340.268 	      0.036
  4340.985 	      0.082
  4341.703 	      0.093
  4342.420 	      0.066
  4343.138 	      0.027
  4343.855 	     -0.008
  4344.573 	     -0.015
  4345.291 	     -0.010
  4346.009 	     -0.003
  4346.727 	      0.005
  4347.445 	      0.012
  4348.164 	      0.008
  4348.882 	     -0.014
  4349.601 	     -0.028
  4350.320 	     -0.017
  4351.039 	      0.039
  4351.758 	      0.029
  4352.477 	      0.013
  4353.196 	     -0.003
  4353.915 	     -0.006
  4354.635 	     -0.035
  4355.354 	     -0.026
  4356.074 	      0.002
  4356.794 	      0.048
  4357.514 	      0.098
  4358.234 	      0.138
  4358.954 	      0.147
  4359.674 	      0.133
  4360.394 	      0.097
  4361.115 	      0.088
  4361.836 	      0.099
  4362.556 	      0.102
  4363.277 	      0.095
  4363.998 	      0.079
  4364.719 	      0.049
  4365.441 	      0.047
  4366.162 	      0.055
  4366.883 	      0.065
  4367.605 	      0.031
  4368.327 	      0.016
  4369.049 	      0.011
  4369.771 	      0.012
  4370.493 	      0.012
  4371.215 	      0.009
  4371.937 	      0.012
  4372.660 	      0.012
  4373.382 	      0.011
  4374.105 	      0.043
  4374.828 	      0.080
  4375.550 	      0.085
  4376.273 	      0.075
  4376.997 	      0.058
