Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.774	    0.111	 3.174e-16	         1.499e-17	    2.411	    0.099	 1.919e-15	 1.200e-16	    3.616	            0.553	 3099.304	 3099.304	    5.227	    6.252	    5.678
[OI]b   	 6363.800	 6429.934	    0.111	 1.024e-16	         1.499e-17	    2.411	    0.099	 6.189e-16	 9.406e-17	    3.616	            0.553	 3099.304	 3099.304	    5.175	   15.198	    5.678
[NII]b  	 6548.100	 6618.664	    0.312	 4.620e-16	         1.913e-16	    2.539	    0.263	 2.940e-15	 1.255e-15	            3.616	    0.553	 3213.248	 3213.248	   14.120	           42.689	    5.978
Halpha  	 6562.800	 6633.537	    0.258	 2.152e-15	         2.833e-16	    2.328	    0.210	 1.256e-14	 2.005e-15	            3.616	    0.553	 3213.876	 3213.876	   11.647	           15.963	    5.483
[NII]a  	 6583.500	 6654.446	    0.312	 1.340e-15	         1.913e-16	    2.552	    0.263	 8.572e-15	 1.510e-15	            3.616	    0.553	 3213.248	 3213.248	   14.044	           17.611	    6.011
[SII]a  	 6716.400	 6788.701	    0.455	 3.725e-16	         1.133e-16	    2.011	    0.342	 1.877e-15	 6.543e-16	            3.616	    0.553	 3209.840	 3209.840	   20.074	           34.856	    4.734
[SII]b  	 6730.800	 6803.256	    0.455	 2.714e-16	         9.673e-17	    2.015	    0.342	 1.371e-15	 5.412e-16	            3.616	    0.553	 3209.840	 3209.840	   20.031	           39.488	    4.745
Hbeta   	 4861.000	 4913.075	    0.310	 4.231e-16	         6.891e-17	    2.280	    0.227	 2.418e-15	 4.616e-16	            3.616	    0.553	 3194.401	 3194.401	   18.921	           19.093	    5.368
[OIII]49	 4959.000	 5011.877	    0.476	 5.082e-17	         3.808e-17	    2.172	    0.372	 2.767e-16	 2.127e-16	            3.616	    0.553	 3179.592	 3179.592	   28.469	           76.867	    5.116
[OIII]50	 5007.000	 5060.390	    0.476	 1.525e-16	         3.808e-17	    2.172	    0.372	 8.302e-16	 2.513e-16	            3.616	    0.553	 3179.650	 3179.650	   28.197	           30.275	    5.116
