5.40357e-16
1 1 1168.70 1175.55
wlen	gal_spec	fit_spec	star_spec	line_spec	newgal_spectrum
  4259.984	     0.773	     0.838	     0.838	     0.000	    -0.066
  4260.688	     0.772	     0.835	     0.835	    -0.000	    -0.063
  4261.392	     0.772	     0.836	     0.836	     0.000	    -0.065
  4262.096	     0.771	     0.840	     0.840	    -0.000	    -0.069
  4262.800	     0.771	     0.850	     0.850	     0.000	    -0.079
  4263.505	     0.770	     0.859	     0.859	    -0.000	    -0.089
  4264.209	     0.770	     0.864	     0.864	     0.000	    -0.094
  4264.914	     0.769	     0.868	     0.868	    -0.000	    -0.099
  4265.618	     0.769	     0.869	     0.869	     0.000	    -0.101
  4266.323	     0.768	     0.866	     0.866	    -0.000	    -0.098
  4267.028	     0.768	     0.858	     0.858	     0.000	    -0.091
  4267.733	     0.767	     0.849	     0.849	    -0.000	    -0.082
  4268.439	     0.767	     0.837	     0.837	     0.000	    -0.071
  4269.144	     0.766	     0.819	     0.819	    -0.000	    -0.053
  4269.849	     0.766	     0.798	     0.798	     0.000	    -0.033
  4270.555	     0.765	     0.785	     0.785	    -0.000	    -0.020
  4271.261	     0.765	     0.773	     0.773	     0.000	    -0.008
  4271.966	     0.779	     0.771	     0.771	    -0.000	     0.008
  4272.672	     0.786	     0.783	     0.783	     0.000	     0.003
  4273.378	     0.790	     0.803	     0.803	    -0.000	    -0.014
  4274.084	     0.792	     0.822	     0.822	     0.000	    -0.030
  4274.791	     0.802	     0.840	     0.840	    -0.000	    -0.038
  4275.497	     0.819	     0.852	     0.852	     0.000	    -0.033
  4276.204	     0.829	     0.855	     0.855	    -0.000	    -0.026
  4276.910	     0.835	     0.851	     0.851	     0.000	    -0.016
  4277.617	     0.840	     0.847	     0.847	    -0.000	    -0.008
  4278.324	     0.825	     0.841	     0.841	     0.000	    -0.016
  4279.031	     0.824	     0.837	     0.837	    -0.000	    -0.012
  4279.738	     0.821	     0.834	     0.834	     0.000	    -0.014
  4280.445	     0.813	     0.833	     0.833	    -0.000	    -0.021
  4281.152	     0.787	     0.832	     0.832	     0.000	    -0.045
  4281.860	     0.781	     0.832	     0.832	    -0.000	    -0.051
  4282.567	     0.785	     0.833	     0.833	     0.000	    -0.049
  4283.275	     0.794	     0.837	     0.837	    -0.000	    -0.043
  4283.983	     0.799	     0.840	     0.840	     0.000	    -0.042
  4284.691	     0.784	     0.846	     0.846	    -0.000	    -0.061
  4285.399	     0.784	     0.851	     0.851	     0.000	    -0.066
  4286.107	     0.793	     0.854	     0.854	    -0.000	    -0.061
  4286.815	     0.811	     0.856	     0.856	     0.000	    -0.045
  4287.523	     0.810	     0.858	     0.858	    -0.000	    -0.048
  4288.232	     0.819	     0.861	     0.861	     0.000	    -0.041
  4288.940	     0.830	     0.864	     0.864	    -0.000	    -0.034
  4289.649	     0.840	     0.865	     0.865	     0.000	    -0.025
  4290.358	     0.828	     0.865	     0.865	    -0.000	    -0.037
  4291.067	     0.814	     0.860	     0.860	     0.000	    -0.046
  4291.776	     0.795	     0.851	     0.851	    -0.000	    -0.055
  4292.485	     0.780	     0.842	     0.842	     0.000	    -0.063
  4293.194	     0.795	     0.836	     0.836	    -0.000	    -0.040
  4293.904	     0.792	     0.830	     0.830	     0.000	    -0.037
  4294.613	     0.783	     0.826	     0.826	    -0.000	    -0.043
  4295.323	     0.780	     0.826	     0.826	     0.000	    -0.046
  4296.033	     0.794	     0.830	     0.830	    -0.000	    -0.036
  4296.743	     0.810	     0.834	     0.834	     0.000	    -0.024
  4297.453	     0.795	     0.840	     0.840	    -0.000	    -0.045
  4298.163	     0.783	     0.842	     0.842	     0.000	    -0.059
  4298.873	     0.778	     0.841	     0.841	    -0.000	    -0.063
  4299.583	     0.798	     0.840	     0.840	     0.000	    -0.042
  4300.294	     0.790	     0.840	     0.840	    -0.000	    -0.050
  4301.004	     0.783	     0.844	     0.844	     0.000	    -0.062
  4301.715	     0.778	     0.852	     0.852	    -0.000	    -0.074
  4302.426	     0.777	     0.854	     0.854	     0.000	    -0.076
  4303.137	     0.790	     0.854	     0.854	    -0.000	    -0.064
  4303.848	     0.789	     0.847	     0.847	     0.000	    -0.058
  4304.559	     0.784	     0.837	     0.837	    -0.000	    -0.053
  4305.270	     0.778	     0.829	     0.829	     0.000	    -0.051
  4305.982	     0.774	     0.829	     0.829	    -0.000	    -0.054
  4306.693	     0.777	     0.830	     0.830	     0.000	    -0.053
  4307.405	     0.792	     0.841	     0.841	    -0.000	    -0.050
  4308.117	     0.814	     0.856	     0.856	     0.000	    -0.042
