Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.133	    1.059	 4.034e-17	     2.028e-17	    2.426	    0.765	 2.453e-16	 1.456e-16	   10.175	        0.553	 3069.123	 3069.123	   49.874	   59.356
[OI]b   	 6363.800	 6429.286	    1.059	 1.301e-17	     2.028e-17	    2.426	    0.765	 7.913e-17	 1.258e-16	   10.175	        0.553	 3069.123	 3069.123	   49.377	  159.006
[NII]b  	 6548.100	 6618.287	    0.210	 4.647e-17	     1.657e-17	    1.979	    0.152	 2.305e-16	 8.410e-17	       10.175	    0.553	 3196.173	 3196.173	    9.533	       36.484
Halpha  	 6562.800	 6633.211	    0.208	 2.167e-16	     2.240e-17	    2.336	    0.152	 1.269e-15	 1.550e-16	       10.175	    0.553	 3199.143	 3199.143	    9.402	       12.218
[NII]a  	 6583.500	 6654.067	    0.210	 1.348e-16	     1.657e-17	    1.989	    0.152	 6.721e-16	 9.737e-17	       10.175	    0.553	 3196.173	 3196.173	    9.482	       14.488
[SII]a  	 6716.400	 6788.071	    0.364	 3.483e-17	     9.439e-18	    1.681	    0.273	 1.468e-16	 4.636e-17	       10.175	    0.553	 3182.051	 3182.051	   16.092	       31.591
[SII]b  	 6730.800	 6802.625	    0.364	 3.036e-18	     3.838e-18	    1.685	    0.273	 1.282e-17	 1.634e-17	       10.175	    0.553	 3182.051	 3182.051	   16.057	      127.444
Hbeta   	 4861.000	 4913.109	    0.412	 8.688e-17	     1.504e-17	    2.876	    0.312	 6.262e-16	 1.280e-16	       10.175	    0.553	 3196.468	 3196.468	   25.154	       20.435
[OIII]49	 4959.000	 5011.564	    0.982	 3.078e-18	     5.053e-18	    2.075	    0.829	 1.601e-17	 2.705e-17	       10.175	    0.553	 3160.876	 3160.876	   58.757	      168.937
[OIII]50	 5007.000	 5060.074	    0.982	 9.234e-18	     5.053e-18	    2.075	    0.829	 4.804e-17	 3.254e-17	       10.175	    0.553	 3160.934	 3160.934	   58.194	       67.740
