WV      	 Sigma   
4259.984	    0.155
4260.688	    0.154
4261.392	    0.151
4262.096	    0.146
4262.800	    0.139
4263.505	    0.136
4264.209	    0.133
4264.914	    0.132
4265.618	    0.133
4266.323	    0.136
4267.028	    0.140
4267.733	    0.146
4268.439	    0.153
4269.144	    0.162
4269.849	    0.167
4270.555	    0.172
4271.261	    0.174
4271.966	    0.173
4272.672	    0.112
4273.378	    0.038
4274.084	    0.086
4274.791	    0.143
4275.497	    0.045
4276.204	    0.088
4276.910	    0.123
4277.617	    0.199
4278.324	    0.199
4279.031	    0.157
4279.738	    0.121
4280.445	    0.116
4281.152	    0.240
4281.860	    0.211
4282.567	    0.118
4283.275	    0.150
4283.983	    0.161
4284.691	    0.137
4285.399	    0.123
4286.107	    0.107
4286.815	    0.072
4287.523	    0.063
4288.232	    0.096
4288.940	    0.134
4289.649	    0.135
4290.358	    0.108
4291.067	    0.045
4291.776	    0.086
4292.485	    0.081
4293.194	    0.048
4293.904	    0.053
4294.613	    0.045
4295.323	    0.045
4296.033	    0.061
4296.743	    0.061
4297.453	    0.124
4298.163	    0.166
4298.873	    0.196
4299.583	    0.181
4300.294	    0.170
4301.004	    0.159
4301.715	    0.148
4302.426	    0.149
4303.137	    0.166
4303.848	    0.181
4304.559	    0.186
4305.270	    0.177
4305.982	    0.142
4306.693	    0.101
4307.405	    0.088
4308.117	    0.100
4308.829	    0.137
4309.541	    0.177
4310.253	    0.187
4310.965	    0.165
4311.677	    0.029
4312.390	    0.096
4313.102	    0.065
4313.815	    0.041
4314.528	    0.041
4315.241	    0.106
4315.954	    0.084
4316.667	    0.074
4317.380	    0.083
4318.094	    0.126
4318.807	    0.156
4319.521	    0.175
4320.235	    0.178
4320.949	    0.167
4321.663	    0.143
4322.377	    0.124
4323.091	    0.142
4323.805	    0.159
4324.520	    0.125
4325.234	    0.151
4325.949	    0.216
4326.664	    0.219
4327.379	    0.160
4328.094	    0.101
4328.809	    0.103
4329.524	    0.038
4330.240	    0.104
4330.955	    0.126
4331.671	    0.063
4332.387	    0.068
4333.103	    0.083
4333.819	    0.038
4334.535	    0.112
4335.251	    0.135
4335.968	    0.117
4336.684	    0.024
4337.401	    0.148
4338.117	    0.167
4338.834	    0.152
4339.551	    0.148
4340.268	    0.159
4340.985	    0.137
4341.703	    0.115
4342.420	    0.096
4343.138	    0.072
4343.855	    0.072
4344.573	    0.070
4345.291	    0.103
4346.009	    0.108
4346.727	    0.093
4347.445	    0.079
4348.164	    0.038
4348.882	    0.024
4349.601	    0.056
4350.320	    0.034
4351.039	    0.119
4351.758	    0.155
4352.477	    0.135
4353.196	    0.063
4353.915	    0.068
4354.635	    0.166
4355.354	    0.164
4356.074	    0.106
4356.794	    0.135
4357.514	    0.185
4358.234	    0.269
4358.954	    0.293
4359.674	    0.286
4360.394	    0.252
4361.115	    0.234
4361.836	    0.244
4362.556	    0.220
4363.277	    0.142
4363.998	    0.051
4364.719	    0.106
4365.441	    0.152
4366.162	    0.195
4366.883	    0.232
4367.605	    0.232
4368.327	    0.208
4369.049	    0.164
4369.771	    0.089
4370.493	    0.094
4399.473	    0.115
4400.200	    0.086
4400.928	    0.117
4401.655	    0.070
4402.382	    0.094
4403.110	    0.103
4403.837	    0.111
4404.565	    0.129
4405.293	    0.086
4406.021	    0.128
4406.749	    0.141
4407.477	    0.146
4408.205	    0.189
4408.934	    0.194
4409.662	    0.162
4410.391	    0.122
4411.119	    0.094
4411.848	    0.140
4412.577	    0.180
4413.307	    0.178
4414.036	    0.176
4414.765	    0.187
4415.495	    0.215
4416.224	    0.208
4416.954	    0.193
4417.684	    0.158
4418.414	    0.076
4419.144	    0.077
4419.874	    0.125
4420.605	    0.159
4421.335	    0.172
4422.066	    0.148
4422.796	    0.029
4423.527	    0.106
4424.258	    0.097
4424.989	    0.024
4425.720	    0.089
4426.452	    0.048
4427.183	    0.103
4427.915	    0.118
4428.646	    0.119
4429.378	    0.138
4430.110	    0.151
4430.842	    0.079
4431.574	    0.079
4432.307	    0.056
4433.039	    0.048
4433.772	    0.121
4434.504	    0.126
4435.237	    0.133
4435.970	    0.145
4436.703	    0.136
4437.436	    0.112
4438.169	    0.017
4438.903	    0.113
4439.636	    0.147
