Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.034e+03   1.032e+01   5.380e+00   4.286e-01   1.231e-14   1.720e-15 
-1.3733e+01  3.780e-01   2.944e+03   1.046e+01   5.443e+00   4.403e-01   6.135e-15   8.728e-16 
-1.2977e+01  3.780e-01   2.897e+03   7.742e+00   3.906e+00   3.061e-01   1.763e-14   2.625e-15 
-1.2223e+01  3.780e-01   2.901e+03   8.606e+00   3.891e+00   3.391e-01   1.835e-14   3.015e-15 
-1.1467e+01  3.780e-01   2.906e+03   9.825e+00   4.023e+00   3.933e-01   1.444e-14   2.660e-15 
-1.0711e+01  3.780e-01   2.904e+03   1.122e+01   4.127e+00   4.521e-01   7.632e-15   1.565e-15 
-9.9580e+00  3.780e-01   2.894e+03   1.052e+01   3.763e+00   4.168e-01   5.887e-15   1.218e-15 
-9.1970e+00  3.780e-01   2.891e+03   1.022e+01   3.712e+00   3.980e-01   6.241e-15   1.282e-15 
-8.4470e+00  3.780e-01   2.904e+03   1.097e+01   3.775e+00   4.356e-01   1.663e-15   3.493e-16 
-7.6910e+00  3.780e-01   2.925e+03   1.165e+01   4.148e+00   4.804e-01   7.222e-16   1.487e-16 
-6.9350e+00  3.780e-01   2.932e+03   1.624e+01   5.270e+00   6.876e-01   5.569e-16   1.238e-16 
-1.5245e+01  3.780e-01   3.100e+03   1.138e+01   5.448e+00   4.686e-01   8.949e-15   1.336e-15 
-1.5999e+01  3.780e-01   3.163e+03   8.513e+00   4.049e+00   3.556e-01   9.179e-15   1.451e-15 
-1.6756e+01  3.780e-01   3.168e+03   8.741e+00   3.868e+00   3.556e-01   1.051e-14   1.784e-15 
-1.7509e+01  3.780e-01   3.173e+03   9.685e+00   3.875e+00   3.933e-01   8.269e-15   1.557e-15 
-1.9022e+01  3.780e-01   3.178e+03   8.296e+00   3.820e+00   3.297e-01   1.435e-14   2.339e-15 
-1.9776e+01  3.780e-01   3.188e+03   8.863e+00   3.814e+00   3.462e-01   8.294e-15   1.456e-15 
-2.0533e+01  3.780e-01   3.188e+03   1.184e+01   4.047e+00   4.922e-01   1.460e-15   3.228e-16 
-2.1288e+01  3.780e-01   3.172e+03   1.293e+01   4.493e+00   5.463e-01   8.038e-16   1.782e-16 
-2.2042e+01  3.780e-01   3.159e+03   2.117e+01   5.925e+00   9.560e-01   3.964e-16   1.148e-16 
