Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.076e+03   1.335e+01   4.253e+00   3.532e-01   1.185e-15   2.225e-16 
-1.3733e+01  3.780e-01   2.995e+03   2.120e+01   4.277e+00   5.887e-01   6.578e-16   1.740e-16 
-1.2977e+01  3.780e-01   2.926e+03   9.559e+00   3.875e+00   2.355e-01   2.379e-15   3.220e-16 
-1.2223e+01  3.780e-01   2.924e+03   7.712e+00   3.794e+00   1.931e-01   2.574e-15   2.808e-16 
-1.1467e+01  3.780e-01   2.930e+03   9.740e+00   3.964e+00   2.590e-01   1.702e-15   2.354e-16 
-1.0711e+01  3.780e-01   2.929e+03   1.287e+01   3.451e+00   3.603e-01   7.645e-16   1.528e-16 
-9.9580e+00  3.780e-01   2.928e+03   2.262e+01   3.261e+00   6.146e-01   5.068e-16   1.848e-16 
-9.1970e+00  3.780e-01   2.925e+03   1.884e+01   2.990e+00   4.851e-01   4.261e-16   1.373e-16 
-8.4470e+00  3.780e-01   2.925e+03   1.310e+01   2.925e+00   3.838e-01   2.067e-16   5.028e-17 
-7.6910e+00  3.780e-01   2.936e+03   1.384e+01   2.439e+00   3.367e-01   7.028e-17   2.030e-17 
-6.9350e+00  3.780e-01   2.953e+03   2.510e+01   4.552e+00   6.923e-01   1.035e-16   3.027e-17 
-1.5245e+01  3.780e-01   3.127e+03   1.158e+01   4.616e+00   2.755e-01   9.668e-16   1.519e-16 
-1.5999e+01  3.780e-01   3.181e+03   8.923e+00   4.101e+00   2.331e-01   1.296e-15   1.613e-16 
-1.6756e+01  3.780e-01   3.184e+03   6.611e+00   3.803e+00   1.695e-01   1.393e-15   1.365e-16 
-1.7509e+01  3.780e-01   3.193e+03   6.004e+00   4.015e+00   1.436e-01   1.022e-15   8.867e-17 
-1.9022e+01  3.780e-01   3.199e+03   7.423e+00   3.887e+00   1.978e-01   2.490e-15   2.639e-16 
-1.9776e+01  3.780e-01   3.209e+03   8.741e+00   3.258e+00   2.214e-01   8.176e-16   1.141e-16 
-2.0533e+01  3.780e-01   3.209e+03   7.735e+00   3.666e+00   2.002e-01   4.252e-16   5.149e-17 
-2.1288e+01  3.780e-01   3.175e+03   1.516e+01   3.478e+00   3.909e-01   1.264e-16   2.759e-17 
-2.2042e+01  3.780e-01   3.133e+03   2.732e+01   4.963e+00   7.088e-01   6.989e-17   2.051e-17 
