Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.032e+03   1.227e+01   5.459e+00   5.345e-01   7.840e-15   1.272e-15 
-1.3733e+01  3.780e-01   2.960e+03   1.296e+01   5.978e+00   5.628e-01   4.148e-15   6.548e-16 
-1.2977e+01  3.780e-01   2.902e+03   1.287e+01   4.330e+00   5.392e-01   6.450e-15   1.446e-15 
-1.2223e+01  3.780e-01   2.903e+03   1.353e+01   4.038e+00   5.628e-01   6.750e-15   1.672e-15 
-1.1467e+01  3.780e-01   2.906e+03   1.459e+01   4.165e+00   6.099e-01   5.763e-15   1.515e-15 
-1.0711e+01  3.780e-01   2.902e+03   1.574e+01   4.351e+00   6.641e-01   3.535e-15   9.622e-16 
-9.9580e+00  3.780e-01   2.895e+03   1.364e+01   3.983e+00   5.675e-01   3.201e-15   8.133e-16 
-9.1970e+00  3.780e-01   2.892e+03   1.362e+01   3.976e+00   5.581e-01   3.152e-15   8.159e-16 
-8.4470e+00  3.780e-01   2.910e+03   1.587e+01   4.373e+00   6.852e-01   8.988e-16   2.411e-16 
-7.6910e+00  3.780e-01   2.922e+03   1.574e+01   5.644e+00   7.253e-01   5.748e-16   1.250e-16 
-6.9350e+00  3.780e-01   2.943e+03   1.989e+01   5.279e+00   8.807e-01   3.392e-16   9.130e-17 
-1.5245e+01  3.780e-01   3.102e+03   1.329e+01   5.630e+00   5.769e-01   6.084e-15   1.029e-15 
-1.5999e+01  3.780e-01   3.154e+03   1.345e+01   4.447e+00   5.911e-01   4.038e-15   9.007e-16 
-1.6756e+01  3.780e-01   3.164e+03   1.325e+01   3.953e+00   5.675e-01   4.158e-15   1.033e-15 
-1.7509e+01  3.780e-01   3.170e+03   1.342e+01   3.910e+00   5.628e-01   3.673e-15   9.376e-16 
-1.9022e+01  3.780e-01   3.176e+03   1.255e+01   3.802e+00   5.157e-01   5.197e-15   1.267e-15 
-1.9776e+01  3.780e-01   3.176e+03   1.226e+01   4.198e+00   4.969e-01   3.966e-15   8.892e-16 
-2.0533e+01  3.780e-01   3.175e+03   1.564e+01   3.943e+00   6.593e-01   6.953e-16   2.010e-16 
-2.1288e+01  3.780e-01   3.163e+03   1.578e+01   4.813e+00   6.900e-01   4.960e-16   1.257e-16 
-2.2042e+01  3.780e-01   3.150e+03   1.907e+01   5.064e+00   8.501e-01   2.729e-16   8.216e-17 
