Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.028e+03   1.498e+01   6.166e+00   7.017e-01   6.366e-16   1.049e-16 
-1.3733e+01  3.780e-01   2.984e+03   1.673e+01   5.802e+00   7.818e-01   4.032e-16   7.761e-17 
-1.2977e+01  3.780e-01   2.935e+03   1.462e+01   5.419e+00   6.970e-01   2.851e-16   5.311e-17 
-1.2223e+01  3.780e-01   2.919e+03   1.086e+01   5.329e+00   5.063e-01   3.359e-16   4.789e-17 
-1.1467e+01  3.780e-01   2.918e+03   1.147e+01   4.604e+00   5.157e-01   2.663e-16   4.543e-17 
-1.0711e+01  3.780e-01   2.913e+03   1.061e+01   4.359e+00   4.757e-01   2.127e-16   3.543e-17 
-9.9580e+00  3.780e-01   2.911e+03   1.128e+01   4.687e+00   5.251e-01   1.683e-16   2.849e-17 
-9.1970e+00  3.780e-01   2.910e+03   8.525e+00   4.255e+00   3.956e-01   1.415e-16   1.985e-17 
-8.4470e+00  3.780e-01   2.921e+03   1.082e+01   4.162e+00   4.992e-01   6.755e-17   1.174e-17 
-7.6910e+00  3.780e-01   2.948e+03   1.410e+01   3.231e+00   6.523e-01   4.908e-17   1.464e-17 
-6.9350e+00  3.780e-01   2.926e+03   1.406e+01   6.137e+00   6.334e-01   7.466e-17   1.149e-17 
-1.5245e+01  3.780e-01   3.114e+03   1.188e+01   5.947e+00   5.487e-01   5.884e-16   8.005e-17 
-1.5999e+01  3.780e-01   3.151e+03   1.101e+01   5.506e+00   5.204e-01   3.026e-16   4.220e-17 
-1.6756e+01  3.780e-01   3.159e+03   1.206e+01   4.789e+00   5.604e-01   2.050e-16   3.549e-17 
-1.7509e+01  3.780e-01   3.156e+03   1.158e+01   5.763e+00   5.557e-01   2.343e-16   3.473e-17 
-1.9022e+01  3.780e-01   3.167e+03   1.254e+01   4.460e+00   5.863e-01   1.898e-16   3.708e-17 
-1.9776e+01  3.780e-01   3.187e+03   1.251e+01   5.272e+00   5.911e-01   1.357e-16   2.292e-17 
-2.0533e+01  3.780e-01   3.163e+03   2.212e+01   7.551e+00   1.043e+00   1.289e-16   2.729e-17 
-2.1288e+01  3.780e-01   3.179e+03   2.058e+01   5.788e+00   9.796e-01   7.335e-17   1.812e-17 
-2.2042e+01  3.780e-01   3.133e+03   1.899e+01   4.739e+00   8.736e-01   5.702e-17   1.603e-17 
