Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.014e+03   1.834e+01   4.526e+00   6.099e-01   4.417e-16   1.238e-16 
-1.3733e+01  3.780e-01   2.980e+03   2.311e+01   3.657e+00   7.771e-01   2.514e-16   9.886e-17 
-1.2977e+01  3.780e-01   2.930e+03   2.554e+01   4.490e+00   8.053e-01   3.014e-16   1.066e-16 
-1.2223e+01  3.780e-01   2.905e+03   1.896e+01   3.662e+00   5.228e-01   2.309e-16   7.298e-17 
-1.1467e+01  3.780e-01   2.912e+03   1.876e+01   3.249e+00   5.863e-01   1.937e-16   7.015e-17 
-1.0711e+01  3.780e-01   2.934e+03   1.943e+01   2.924e+00   6.311e-01   1.353e-16   5.580e-17 
-9.9580e+00  3.780e-01   2.908e+03   4.020e+01   3.884e+00   1.286e+00   1.553e-16   9.245e-17 
-9.1970e+00  3.780e-01   2.892e+03   3.246e+01   3.203e+00   7.276e-01   1.116e-16   5.722e-17 
-8.4470e+00  3.780e-01   2.931e+03   2.255e+01   3.354e+00   7.771e-01   3.412e-17   1.644e-17 
-7.6910e+00  3.780e-01   2.940e+03   3.262e+01   2.702e+00   1.100e+00   1.876e-17   1.120e-17 
-6.9350e+00  3.780e-01   2.935e+03   2.945e+01   3.722e+00   7.936e-01   2.495e-17   1.196e-17 
-1.5245e+01  3.780e-01   3.105e+03   2.067e+01   4.722e+00   7.182e-01   3.105e-16   8.441e-17 
-1.5999e+01  3.780e-01   3.141e+03   1.684e+01   4.053e+00   5.251e-01   2.501e-16   6.172e-17 
-1.6756e+01  3.780e-01   3.148e+03   1.281e+01   3.319e+00   4.356e-01   1.658e-16   3.939e-17 
-1.7509e+01  3.780e-01   3.164e+03   1.077e+01   3.206e+00   3.344e-01   1.303e-16   2.587e-17 
-1.9022e+01  3.780e-01   3.187e+03   1.927e+01   3.642e+00   5.440e-01   2.324e-16   6.752e-17 
-1.9776e+01  3.780e-01   3.181e+03   2.429e+01   3.669e+00   8.124e-01   7.376e-17   2.552e-17 
-2.0533e+01  3.780e-01   3.167e+03   1.408e+01   3.417e+00   4.851e-01   7.959e-17   2.003e-17 
-2.1288e+01  3.780e-01   3.162e+03   3.413e+01   3.481e+00   1.335e+00   2.295e-17   1.325e-17 
-2.2042e+01  3.780e-01   3.168e+03   2.967e+01   2.668e+00   1.104e+00   1.130e-17   9.624e-18 
