Position     dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
-1.4511e+01  3.780e-01   3.023e+03   2.386e+01   5.093e+00   1.100e+00   1.272e-15   5.548e-16 
-1.3733e+01  3.780e-01   2.953e+03   2.249e+01   6.026e+00   9.984e-01   9.574e-16   3.171e-16 
-1.2977e+01  3.780e-01   2.902e+03   2.081e+01   4.369e+00   9.090e-01   1.507e-15   6.865e-16 
-1.2223e+01  3.780e-01   2.903e+03   2.111e+01   3.947e+00   9.019e-01   1.575e-15   7.975e-16 
-1.1467e+01  3.780e-01   2.905e+03   2.187e+01   4.219e+00   9.231e-01   1.510e-15   7.545e-16 
-1.0711e+01  3.780e-01   2.902e+03   2.253e+01   4.295e+00   9.537e-01   9.378e-16   4.774e-16 
-9.9580e+00  3.780e-01   2.896e+03   2.143e+01   4.063e+00   8.972e-01   7.191e-16   3.701e-16 
-9.1970e+00  3.780e-01   2.891e+03   2.161e+01   4.038e+00   8.948e-01   7.152e-16   3.761e-16 
-8.4470e+00  3.780e-01   2.908e+03   1.958e+01   4.349e+00   7.912e-01   2.557e-16   1.114e-16 
-7.6910e+00  3.780e-01   2.928e+03   2.002e+01   4.129e+00   8.713e-01   1.085e-16   5.076e-17 
-6.9350e+00  3.780e-01   2.942e+03   2.344e+01   4.614e+00   9.914e-01   8.403e-17   4.152e-17 
-1.5245e+01  3.780e-01   3.103e+03   2.523e+01   4.714e+00   1.177e+00   8.260e-16   4.291e-16 
-1.5999e+01  3.780e-01   3.153e+03   2.191e+01   3.785e+00   1.008e+00   7.055e-16   3.953e-16 
-1.6756e+01  3.780e-01   3.163e+03   2.164e+01   3.678e+00   9.631e-01   8.317e-16   4.715e-16 
-1.7509e+01  3.780e-01   3.169e+03   2.160e+01   3.642e+00   9.419e-01   7.769e-16   4.372e-16 
-1.9022e+01  3.780e-01   3.172e+03   2.181e+01   3.524e+00   9.443e-01   9.687e-16   5.671e-16 
-1.9776e+01  3.780e-01   3.184e+03   2.176e+01   3.706e+00   8.948e-01   6.758e-16   3.674e-16 
-2.0533e+01  3.780e-01   3.177e+03   2.073e+01   3.849e+00   8.713e-01   2.039e-16   1.041e-16 
-2.1288e+01  3.780e-01   3.169e+03   2.008e+01   4.333e+00   8.477e-01   1.462e-16   6.406e-17 
-2.2042e+01  3.780e-01   3.154e+03   2.282e+01   4.039e+00   9.796e-01   7.992e-17   4.182e-17 
