Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.418	    0.278	 2.917e-17	     5.881e-18	    1.415	    0.223	 1.035e-16	 2.647e-17	    5.863	        0.378	 2847.015	 2847.015	   13.093	   25.584	    3.332
[OI]b   	 6363.800	 6424.524	    0.278	 9.410e-18	     5.881e-18	    1.415	    0.223	 3.338e-17	 2.151e-17	    5.863	        0.378	 2847.015	 2847.015	   12.962	   64.453	    3.332
[NII]b  	 6548.100	 6611.671	    0.369	 9.473e-17	     5.491e-17	    2.236	    0.300	 5.309e-16	 3.159e-16	        5.863	    0.378	 2896.358	 2896.358	   16.711	       59.502	    5.265
Halpha  	 6562.800	 6626.662	    0.265	 6.135e-16	     9.677e-17	    2.076	    0.208	 3.193e-15	 5.967e-16	        5.863	    0.378	 2903.071	 2903.071	   11.971	       18.686	    4.889
[NII]a  	 6583.500	 6647.415	    0.369	 2.747e-16	     5.491e-17	    2.248	    0.300	 1.548e-15	 3.722e-16	        5.863	    0.378	 2896.358	 2896.358	   16.621	       24.044	    5.294
[SII]a  	 6716.400	 6781.594	    0.500	 9.871e-17	     3.836e-17	    1.857	    0.385	 4.594e-16	 2.024e-16	        5.863	    0.378	 2895.862	 2895.862	   22.086	       44.057	    4.372
[SII]b  	 6730.800	 6796.134	    0.500	 7.367e-17	     3.149e-17	    1.861	    0.385	 3.436e-16	 1.632e-16	        5.863	    0.378	 2895.862	 2895.862	   22.039	       47.500	    4.382
Hbeta   	 4861.000	 4908.163	    0.726	 1.102e-16	     5.600e-17	    1.737	    0.560	 4.796e-16	 2.887e-16	        5.863	    0.378	 2894.597	 2894.597	   44.313	       60.200	    4.089
[OIII]49	 4959.000	 5006.412	    1.431	 7.325e-18	     2.197e-17	    1.579	    1.002	 2.899e-17	 8.888e-17	        5.863	    0.378	 2852.567	 2852.567	   85.663	      306.569	    3.718
[OIII]50	 5007.000	 5054.872	    1.431	 2.198e-17	     2.197e-17	    1.579	    1.002	 8.697e-17	 1.030e-16	        5.863	    0.378	 2852.625	 2852.625	   84.841	      118.404	    3.718
