Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
6.750e-01   3.780e-01   2.865e+03   1.148e+01   5.660e+00   4.733e-01   1.000e-14   1.467e-15 
1.332e+00   3.780e-01   2.873e+03   1.170e+01   5.887e+00   4.898e-01   7.565e-15   1.095e-15 
2.091e+00   3.780e-01   2.883e+03   1.063e+01   5.471e+00   4.451e-01   7.435e-15   1.074e-15 
2.843e+00   3.780e-01   2.888e+03   9.008e+00   4.709e+00   3.744e-01   1.315e-14   1.913e-15 
3.598e+00   3.780e-01   2.898e+03   9.102e+00   4.276e+00   3.626e-01   1.859e-14   2.994e-15 
4.352e+00   3.780e-01   2.906e+03   9.401e+00   4.135e+00   3.744e-01   1.461e-14   2.490e-15 
5.108e+00   3.780e-01   2.910e+03   1.042e+01   4.415e+00   4.192e-01   7.729e-15   1.388e-15 
5.863e+00   3.780e-01   2.903e+03   1.197e+01   4.889e+00   4.898e-01   3.193e-15   5.967e-16 
6.620e+00   3.780e-01   2.894e+03   1.213e+01   5.434e+00   5.110e-01   1.254e-15   2.114e-16 
7.374e+00   3.780e-01   2.891e+03   1.555e+01   5.269e+00   6.405e-01   6.214e-16   1.369e-16 
8.129e+00   3.780e-01   2.887e+03   4.516e+01   5.603e+00   1.952e+00   4.867e-16   2.989e-16 
-1.780e-01  3.780e-01   2.849e+03   1.034e+01   5.050e+00   4.262e-01   1.094e-14   1.667e-15 
-9.340e-01  3.780e-01   2.839e+03   9.770e+00   4.364e+00   3.956e-01   1.360e-14   2.282e-15 
-1.690e+00  3.780e-01   2.833e+03   9.833e+00   4.235e+00   3.933e-01   1.228e-14   2.155e-15 
-2.445e+00  3.780e-01   2.830e+03   1.040e+01   4.347e+00   4.121e-01   6.357e-15   1.151e-15 
-3.200e+00  3.780e-01   2.843e+03   1.195e+01   4.580e+00   4.922e-01   3.464e-15   6.877e-16 
-3.956e+00  3.780e-01   2.856e+03   1.120e+01   4.164e+00   4.521e-01   2.519e-15   5.072e-16 
-4.710e+00  3.780e-01   2.855e+03   1.601e+01   4.712e+00   6.429e-01   1.239e-15   3.162e-16 
-5.467e+00  3.780e-01   2.854e+03   1.794e+01   5.869e+00   7.441e-01   6.730e-16   1.532e-16 
