Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
6.750e-01   3.780e-01   2.863e+03   1.180e+01   4.803e+00   3.297e-01   1.357e-15   1.914e-16 
1.332e+00   3.780e-01   2.865e+03   1.617e+01   4.914e+00   4.521e-01   1.001e-15   1.818e-16 
2.091e+00   3.780e-01   2.874e+03   1.291e+01   4.836e+00   3.744e-01   1.043e-15   1.587e-16 
2.843e+00   3.780e-01   2.879e+03   8.542e+00   4.686e+00   2.567e-01   1.731e-15   1.820e-16 
3.598e+00   3.780e-01   2.887e+03   9.380e+00   3.696e+00   2.520e-01   2.173e-15   2.931e-16 
4.352e+00   3.780e-01   2.893e+03   1.226e+01   3.330e+00   2.826e-01   1.802e-15   3.324e-16 
5.108e+00   3.780e-01   2.895e+03   1.637e+01   3.535e+00   4.521e-01   1.042e-15   2.538e-16 
5.863e+00   3.780e-01   2.895e+03   4.431e+01   4.089e+00   1.319e+00   4.796e-16   2.887e-16 
6.620e+00   3.780e-01   2.877e+03   3.262e+01   4.793e+00   1.053e+00   2.101e-16   8.427e-17 
7.374e+00   3.780e-01   2.868e+03   2.155e+01   3.792e+00   6.947e-01   6.863e-17   2.075e-17 
8.129e+00   3.780e-01   2.863e+03   2.872e+01   3.559e+00   7.771e-01   8.872e-17   3.627e-17 
-1.780e-01  3.780e-01   2.839e+03   9.696e+00   4.169e+00   2.708e-01   1.405e-15   1.804e-16 
-9.340e-01  3.780e-01   2.829e+03   7.478e+00   4.174e+00   2.049e-01   1.741e-15   1.770e-16 
-1.690e+00  3.780e-01   2.825e+03   7.360e+00   3.993e+00   1.931e-01   1.533e-15   1.580e-16 
-2.445e+00  3.780e-01   2.815e+03   1.519e+01   3.242e+00   4.286e-01   5.931e-16   1.447e-16 
-3.200e+00  3.780e-01   2.840e+03   1.402e+01   4.111e+00   4.097e-01   5.079e-16   9.710e-17 
-3.956e+00  3.780e-01   2.839e+03   9.622e+00   3.211e+00   2.237e-01   3.133e-16   4.975e-17 
-4.710e+00  3.780e-01   2.841e+03   1.837e+02   3.804e+00   4.987e+00   2.197e-16   5.652e-16 
-5.467e+00  3.780e-01   2.818e+03   6.096e+01   4.939e+00   1.747e+00   1.313e-16   8.701e-17 
