Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
6.750e-01   3.780e-01   2.870e+03   1.346e+01   5.511e+00   5.887e-01   6.002e-15   1.062e-15 
1.332e+00   3.780e-01   2.885e+03   1.338e+01   5.812e+00   5.840e-01   4.917e-15   8.176e-16 
2.091e+00   3.780e-01   2.925e+03   1.487e+01   6.513e+00   6.193e-01   4.924e-15   7.894e-16 
2.843e+00   3.780e-01   2.899e+03   1.385e+01   5.094e+00   6.264e-01   5.592e-15   1.175e-15 
3.598e+00   3.780e-01   2.899e+03   1.313e+01   4.411e+00   5.487e-01   7.518e-15   1.708e-15 
4.352e+00   3.780e-01   2.905e+03   1.362e+01   4.163e+00   5.699e-01   5.821e-15   1.423e-15 
5.108e+00   3.780e-01   2.905e+03   1.489e+01   4.614e+00   6.287e-01   3.267e-15   8.102e-16 
5.863e+00   3.780e-01   2.896e+03   1.662e+01   5.294e+00   7.064e-01   1.548e-15   3.722e-16 
6.620e+00   3.780e-01   2.890e+03   1.525e+01   5.549e+00   6.735e-01   6.958e-16   1.443e-16 
7.374e+00   3.780e-01   2.870e+03   1.778e+01   5.517e+00   7.771e-01   4.142e-16   1.020e-16 
8.129e+00   3.780e-01   2.871e+03   4.944e+01   5.382e+00   2.162e+00   3.165e-16   2.163e-16 
-1.780e-01  3.780e-01   2.853e+03   1.357e+01   5.120e+00   5.863e-01   5.646e-15   1.105e-15 
-9.340e-01  3.780e-01   2.837e+03   1.366e+01   4.377e+00   5.793e-01   5.921e-15   1.375e-15 
-1.690e+00  3.780e-01   2.831e+03   1.367e+01   4.312e+00   5.699e-01   5.301e-15   1.271e-15 
-2.445e+00  3.780e-01   2.831e+03   1.370e+01   4.482e+00   5.699e-01   3.009e-15   7.073e-16 
-3.200e+00  3.780e-01   2.840e+03   1.537e+01   4.478e+00   6.499e-01   1.652e-15   4.257e-16 
-3.956e+00  3.780e-01   2.855e+03   1.460e+01   4.321e+00   6.170e-01   1.301e-15   3.297e-16 
-4.710e+00  3.780e-01   2.856e+03   2.023e+01   5.059e+00   8.619e-01   7.053e-16   2.162e-16 
-5.467e+00  3.780e-01   2.858e+03   2.196e+01   5.681e+00   9.396e-01   3.587e-16   1.021e-16 
