Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
6.750e-01   3.780e-01   2.871e+03   2.364e+01   4.450e+00   8.430e-01   1.927e-16   6.567e-17 
1.332e+00   3.780e-01   2.860e+03   1.862e+01   4.251e+00   5.345e-01   2.901e-16   7.799e-17 
2.091e+00   3.780e-01   2.874e+03   2.086e+01   4.079e+00   6.900e-01   2.000e-16   6.058e-17 
2.843e+00   3.780e-01   2.889e+03   3.006e+01   4.349e+00   1.020e+00   1.261e-16   4.500e-17 
3.598e+00   3.780e-01   2.877e+03   2.744e+01   3.648e+00   8.006e-01   1.754e-16   7.091e-17 
4.352e+00   3.780e-01   2.858e+03   3.523e+01   3.169e+00   1.053e+00   1.530e-16   9.343e-17 
5.108e+00   3.780e-01   2.852e+03   4.370e+01   3.251e+00   1.370e+00   1.056e-16   7.580e-17 
5.863e+00   3.780e-01   2.853e+03   8.484e+01   3.718e+00   2.360e+00   8.697e-17   1.030e-16 
6.620e+00   3.780e-01   2.733e+03   3.459e+01   2.412e+00   1.078e+00   4.485e-17   3.465e-17 
7.374e+00   3.780e-01   2.793e+03   2.029e+01   3.087e+00   6.429e-01   3.610e-17   1.301e-17 
8.129e+00   3.780e-01   2.791e+03   4.635e+01   2.424e+00   1.622e+00   1.727e-17   1.714e-17 
-1.780e-01  3.780e-01   2.825e+03   1.809e+01   3.669e+00   5.086e-01   2.021e-16   5.384e-17 
-9.340e-01  3.780e-01   2.787e+03   1.711e+01   4.087e+00   5.840e-01   2.133e-16   5.473e-17 
-1.690e+00  3.780e-01   2.801e+03   1.819e+01   3.806e+00   6.240e-01   1.636e-16   4.627e-17 
-2.445e+00  3.780e-01   2.848e+03   3.422e+01   2.507e+00   1.093e+00   5.450e-17   4.169e-17 
-3.200e+00  3.780e-01   2.833e+03   2.377e+01   2.716e+00   7.111e-01   6.403e-17   3.026e-17 
-3.956e+00  3.780e-01   2.857e+03   3.379e+01   4.420e+00   1.420e+00   4.111e-17   1.643e-17 
-4.710e+00  3.780e-01   2.832e+03   2.919e+02   3.869e+00   8.108e+00   6.240e-17   2.585e-16 
-5.467e+00  3.780e-01   2.962e+03   8.727e+01   4.435e+00   2.383e+00   3.050e-17   3.410e-17 
