Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
6.750e-01   3.780e-01   2.870e+03   2.389e+01   5.570e+00   1.064e+00   1.624e-15   5.664e-16 
1.332e+00   3.780e-01   2.881e+03   2.332e+01   6.083e+00   1.005e+00   1.350e-15   4.237e-16 
2.091e+00   3.780e-01   2.891e+03   2.302e+01   5.144e+00   1.029e+00   1.049e-15   3.874e-16 
2.843e+00   3.780e-01   2.893e+03   2.160e+01   4.684e+00   9.631e-01   1.490e-15   5.949e-16 
3.598e+00   3.780e-01   2.901e+03   2.158e+01   4.298e+00   9.090e-01   1.947e-15   8.768e-16 
4.352e+00   3.780e-01   2.908e+03   2.157e+01   4.120e+00   9.160e-01   1.642e-15   7.598e-16 
5.108e+00   3.780e-01   2.907e+03   2.194e+01   4.428e+00   8.901e-01   9.811e-16   4.352e-16 
5.863e+00   3.780e-01   2.896e+03   2.209e+01   4.372e+00   9.066e-01   4.594e-16   2.024e-16 
6.620e+00   3.780e-01   2.887e+03   2.187e+01   4.650e+00   9.867e-01   2.029e-16   8.031e-17 
7.374e+00   3.780e-01   2.882e+03   2.408e+01   4.838e+00   1.036e+00   1.398e-16   5.854e-17 
8.129e+00   3.780e-01   2.919e+03   1.971e+01   2.456e+00   8.124e-01   6.544e-17   7.664e-17 
-1.780e-01  3.780e-01   2.855e+03   2.214e+01   5.252e+00   9.608e-01   1.600e-15   5.836e-16 
-9.340e-01  3.780e-01   2.841e+03   2.147e+01   4.396e+00   9.160e-01   1.741e-15   7.460e-16 
-1.690e+00  3.780e-01   2.835e+03   2.133e+01   4.344e+00   8.854e-01   1.602e-15   7.007e-16 
-2.445e+00  3.780e-01   2.837e+03   2.082e+01   4.417e+00   8.642e-01   9.780e-16   4.116e-16 
-3.200e+00  3.780e-01   2.852e+03   2.015e+01   4.135e+00   7.229e-01   5.740e-16   2.284e-16 
-3.956e+00  3.780e-01   2.859e+03   2.135e+01   3.960e+00   9.231e-01   4.514e-16   2.033e-16 
-4.710e+00  3.780e-01   2.848e+03   2.306e+01   3.658e+00   8.006e-01   2.136e-16   1.114e-16 
-5.467e+00  3.780e-01   2.867e+03   2.755e+01   4.895e+00   1.142e+00   1.342e-16   6.138e-17 
