Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.228	    0.094	 2.750e-16	     1.281e-17	    2.127	    0.076	 1.466e-15	 8.625e-17	   -0.803	        0.553	 3073.621	 3073.621	    4.418	    5.884
[OI]b   	 6363.800	 6429.383	    0.094	 8.871e-17	     1.281e-17	    2.127	    0.076	 4.728e-16	 7.037e-17	   -0.803	        0.553	 3073.621	 3073.621	    4.374	   14.881
[NII]b  	 6548.100	 6615.467	    0.330	 9.197e-16	     5.554e-16	    1.936	    0.254	 4.462e-15	 2.758e-15	       -0.803	    0.553	 3068.399	 3068.399	   14.944	       61.794
Halpha  	 6562.800	 6630.363	    0.241	 6.277e-15	     9.834e-16	    1.896	    0.179	 2.983e-14	 5.454e-15	       -0.803	    0.553	 3070.444	 3070.444	   10.914	       18.284
[NII]a  	 6583.500	 6651.231	    0.330	 2.667e-15	     5.554e-16	    1.946	    0.254	 1.301e-14	 3.196e-15	       -0.803	    0.553	 3068.399	 3068.399	   14.864	       24.564
[SII]a  	 6716.400	 6785.548	    0.494	 7.482e-16	     3.168e-16	    1.661	    0.307	 3.114e-15	 1.439e-15	       -0.803	    0.553	 3070.608	 3070.608	   21.809	       46.195
[SII]b  	 6730.800	 6800.097	    0.494	 5.913e-16	     2.911e-16	    1.664	    0.307	 2.467e-15	 1.297e-15	       -0.803	    0.553	 3070.608	 3070.608	   21.762	       52.567
Hbeta   	 4861.000	 4911.768	    0.377	 4.889e-16	     1.149e-16	    1.995	    0.287	 2.444e-15	 6.737e-16	       -0.803	    0.553	 3114.638	 3114.638	   23.026	       27.562
[OIII]49	 4959.000	 5010.298	    0.752	 2.577e-17	     4.380e-17	    1.531	    0.542	 9.890e-17	 1.717e-16	       -0.803	    0.553	 3085.130	 3085.130	   45.019	      173.607
[OIII]50	 5007.000	 5058.795	    0.752	 7.731e-17	     4.380e-17	    1.531	    0.542	 2.967e-16	 1.982e-16	       -0.803	    0.553	 3085.188	 3085.188	   44.587	       66.797
