Position    dPosition   Velocity    dVelocity   fwhm        dfwhm       flux        dflux     
2.509e+00   5.530e-01   3.100e+03   4.672e+00   6.117e+00   2.096e-01   3.103e-15   1.898e-16 
3.616e+00   5.530e-01   3.099e+03   5.202e+00   6.303e+00   2.308e-01   1.894e-15   1.194e-16 
4.654e+00   5.530e-01   3.106e+03   5.055e+00   5.711e+00   2.261e-01   1.766e-15   1.009e-16 
5.760e+00   5.530e-01   3.118e+03   5.598e+00   6.588e+00   2.496e-01   1.649e-15   1.086e-16 
6.862e+00   5.530e-01   3.117e+03   5.558e+00   6.546e+00   2.496e-01   1.645e-15   1.077e-16 
7.846e+00   5.530e-01   3.096e+03   9.746e+00   8.760e+00   4.309e-01   9.066e-16   7.941e-17 
9.070e+00   5.530e-01   3.031e+03   1.539e+01   1.363e+01   6.429e-01   4.895e-16   6.671e-17 
1.018e+01   5.530e-01   3.069e+03   4.987e+01   5.936e+01   1.801e+00   2.453e-16   1.456e-16 
1.407e+00   5.530e-01   3.101e+03   4.786e+00   6.301e+00   2.143e-01   2.278e-15   1.436e-16 
3.030e-01   5.530e-01   3.073e+03   3.411e+00   5.125e+00   1.460e-01   1.598e-15   8.191e-17 
-8.030e-01  5.530e-01   3.074e+03   4.418e+00   5.884e+00   1.790e-01   1.466e-15   8.625e-17 
-1.907e+00  5.530e-01   3.090e+03   5.035e+00   7.836e+00   2.119e-01   1.058e-15   8.288e-17 
-3.011e+00  5.530e-01   3.112e+03   5.532e+00   1.147e+01   2.072e-01   4.574e-16   5.248e-17 
-4.115e+00  5.530e-01   2.844e+03   3.782e+01   3.330e+01   1.352e+00   1.982e-16   6.598e-17 
